"","lightyellow","brown","black","turquoise","darkred","lightcyan","bisque4","green","yellow","blue","violet","red","darkgreen","plum1","maroon","sienna3","paleturquoise","magenta","lavenderblush3","white","midnightblue","darkseagreen4","yellowgreen","darkturquoise","darkslateblue","cyan","salmon","purple","orangered4","darkorange2","lightsteelblue1","greenyellow","tan","brown4","skyblue","orange","grey60","floralwhite","ivory","royalblue","skyblue3","palevioletred3","plum2","darkolivegreen","pink","darkorange","honeydew1","darkmagenta","lightgreen","navajowhite2","coral2","steelblue","thistle1","darkgrey","saddlebrown","mediumpurple3","antiquewhite4","salmon4","thistle2","coral1","lightcyan1","lightpink4"
"Vitvi02g04106",0.00136986301369863,0,0.0177404295051354,0,0,0,0,0,0,0.0887521968365554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi03g00318",0,0,0,0,0,0,0,0.00123762376237624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212765957446809,0,0,0,0,0,0,0,0,0.0075187969924812,0,0,0,0,0,0
"Vitvi03g00692",0,0,0,0.06378896882494,0,0,0,0,0,0,0.00533807829181495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi03g00752",0,0,0,0.00301635180187331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062992125984252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0948012232415902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi03g01258",0,0,0,0.000158881474420083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120845921450151,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111510791366906,0,0,0,0,0,0,0.0457516339869281,0
"Vitvi03g01809",0,0.00108225108225108,0.00399467376830892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00158478605388273,0,0,0,0,0,0,0,0,0,0.0017636684303351,0,0,0,0,0.183529411764706,0,0,0,0.00966183574879227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi03g04266",0,0,0,0.00253646163601776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019047619047619,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0496894409937888,0,0,0,0,0,0,0,0
"Vitvi03g04466",0,0,0,0.000478163850812879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00597609561752988,0,0,0,0.00419287211740042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062043795620438,0,0,0,0,0,0,0,0
"Vitvi04g00017",0,0,0,0.00989782886334611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00910746812386157,0,0,0,0.00189753320683112,0,0,0,0,0,0,0,0,0,0,0,0,0.00847457627118644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g01254",0,0,0,0,0,0,0,0,0,0.000219250164437623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024330900243309,0,0,0,0,0,0,0,0,0,0,0,0,0.0557377049180328,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313588850174216,0,0,0,0,0,0.0285714285714286,0,0
"Vitvi04g01325",0.00573065902578797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00537634408602151,0,0,0,0,0,0.018018018018018,0,0,0,0,0,0,0,0,0,0,0,0.206521739130435,0,0,0,0,0,0,0
"Vitvi04g01375",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108991825613079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203296703296703,0,0,0,0,0,0,0
"Vitvi04g01550",0.000904977375565611,0,0.013840830449827,0,0,0,0,0,0,0.170876345266857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g01555",0,0,0,0.00111040609137056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00227272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0.143322475570033,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0220125786163522,0,0,0,0,0,0,0,0
