"","magenta","pink","turquoise","cyan","salmon","blue","purple","red","yellow","bisque4","brown","plum2","violet","green","greenyellow","black","mediumpurple3","midnightblue","skyblue3","steelblue","darkred","royalblue","grey60","thistle2","skyblue","yellowgreen","saddlebrown","paleturquoise","darkmagenta","lightcyan","darkolivegreen","darkgreen","tan","palevioletred3","darkorange","orange","ivory","white","thistle1","darkslateblue","darkorange2","lightyellow","darkturquoise","darkgrey","maroon","floralwhite","sienna3","brown4","lightgreen","lightsteelblue1","plum1","navajowhite2","orangered4","lightpink4","salmon4","lavenderblush3","lightcyan1"
"Vitvi06g01618",0,0,0.00179179358537896,0,0,0,0,0.159176029962547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0211480362537764,0,0,0,0,0,0,0,0
"Vitvi06g04121",0,0,0,0,0,0,0,0.124760076775432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016260162601626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g00283",0,0,0.00491534680502458,0,0,0,0,0.00735294117647059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g00523",0,0,0,0,0,0.157582184517497,0,0,0,0,0.000583771161704612,0,0,0,0,0,0,0,0,0,0,0,0.00100806451612903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g00890",0,0,0,0,0,0,0,0.0016025641025641,0,0,0,0,0,0.166929133858268,0,0,0,0,0,0,0,0,0,0,0.00353356890459364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g01267",0,0,0.138909090909091,0,0,0,0.000822368421052632,0,0.00125234815278647,0,0,0,0,0,0,0.00237154150197628,0,0,0,0,0,0,0,0,0,0,0,0.0043010752688172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g01315",0.00747663551401869,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00396825396825397,0,0,0,0,0,0.00346020761245675,0,0,0,0,0,0,0,0,0,0,0,0.195488721804511,0,0,0,0,0,0,0,0,0,0,0.0256410256410256,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g01342",0,0,0.0677233429394813,0,0,0,0,0,0.00317712470214456,0,0,0,0,0,0,0.0639269406392694,0,0,0,0,0,0,0,0,0,0,0,0.00504201680672269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g01407",0,0,0.00471527022125499,0,0,0,0,0.0017636684303351,0,0,0,0,0,0.00146412884333821,0,0.00184162062615101,0,0,0,0,0,0,0,0,0.107317073170732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g01719",0,0.0282608695652174,0.00236277717193748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g01829",0.00177304964539007,0,0,0,0,0.143462598008053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00461361014994233,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g02323",0,0,0,0,0,0,0,0.00155038759689922,0,0,0,0,0,0.201892744479495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g03086",0,0.148148148148148,0,0,0,0.00209073803052478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00431965442764579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi08g00795",0.0124223602484472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132743362831858,0,0,0,0,0,0.144736842105263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi08g00957",0,0,0.000545355389929104,0,0,0,0.0223713646532438,0.00188323917137476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi08g01235",0,0,0,0,0,0,0,0.00480769230769231,0,0,0,0,0,0.162754303599374,0,0,0,0.00769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi08g01333",0,0,0.00398262128892107,0,0,0,0,0.00701754385964912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201612903225806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0973782771535581,0,0,0,0,0,0,0,0
"Vitvi08g01617",0,0,0.00308866279069767,0,0,0,0.00211416490486258,0.0261682242990654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi08g01846",0,0,0.000728066982162359,0,0,0,0,0,0.0036144578313253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109289617486339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi08g01897",0,0,0.0065490267418592,0,0,0,0,0.00899280575539568,0,0,0,0,0,0,0,0.00373831775700935,0,0,0,0,0,0,0,0,0.0045662100456621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi08g02218",0,0,0.00288028802880288,0,0,0,0,0.0831826401446655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0671140939597315,0,0,0,0,0,0,0,0
