"","green","brown","pink","turquoise","tan","purple","magenta","blue","red","midnightblue","salmon","darkturquoise","yellow","greenyellow","darkred","black","orange","royalblue","lightyellow","lightgreen","cyan","lightcyan","grey60","darkgreen","darkgrey"
"Vitvi13g02285",0,0,0.0812182741116751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196078431372549,0,0,0,0,0
"Vitvi13g04289",0,0,0,0.00053276505061268,0,0.0141843971631206,0,0,0,0,0,0,0.0571625344352617,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi13g04528",0,0,0,0.0011950604169433,0,0.0164158686730506,0,0,0,0,0,0,0.0712816997943797,0,0,0.00319488817891374,0,0,0,0,0,0,0,0,0
"Vitvi13g04529",0,0,0,0.00159638153518691,0,0.0180806675938804,0,0,0,0,0,0,0.0615595075239398,0,0,0.00215285252960172,0,0,0,0,0,0,0,0,0
"Vitvi13g04540",0,0,0,0.000267809319764328,0,0.0322085889570552,0,0,0,0,0,0,0.0198087431693989,0,0,0.0069284064665127,0,0,0,0,0,0,0,0,0
"Vitvi13g04677",0,0,0,0.00174613834788449,0,0,0,0,0,0,0,0,0.0227900552486188,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi13g04698",0,0,0,0.00537562155624244,0,0,0,0,0,0,0,0,0.0196610169491525,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi13g04706",0,0,0,0.00280861308011234,0,0,0,0,0,0,0,0,0.0446428571428571,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi14g00679",0,0,0,0.0906763675559148,0,0.000771010023130301,0.00645161290322581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi14g01926",0,0,0,0.000809498111171074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi14g02663",0,0.00332963374028857,0.0553505535055351,0,0,0,0,0.00269662921348315,0,0,0,0,0,0,0,0,0,0,0.0561224489795918,0,0,0,0,0,0
"Vitvi14g04416",0.00475059382422803,0,0,0,0,0,0.00133333333333333,0,0,0,0,0,0,0,0,0.00237529691211401,0,0,0,0,0,0,0,0,0.230769230769231
"Vitvi16g00160",0,0,0,0.0010752688172043,0,0,0,0,0,0,0,0,0.00478142076502732,0,0,0.0240963855421687,0,0,0,0,0,0,0,0,0
"Vitvi16g00901",0,0,0,0.000134825401105568,0,0,0,0,0,0,0,0,0.00348189415041783,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi16g04295",0,0,0,0.0718910169948746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi16g04388",0,0,0,0.00106567203942987,0,0.0198863636363636,0,0,0,0,0,0,0.0541466758053461,0,0,0.00109170305676856,0,0,0,0,0,0,0,0,0
