"variant","method","matrix","module","size"
"WGCNA_unprotected_power20","WGCNA","unprotected","pink",447
"WGCNA_unprotected_power20","WGCNA","unprotected","turquoise",5489
"WGCNA_unprotected_power20","WGCNA","unprotected","cyan",306
"WGCNA_unprotected_power20","WGCNA","unprotected","salmon",331
"WGCNA_unprotected_power20","WGCNA","unprotected","blue",4713
"WGCNA_unprotected_power20","WGCNA","unprotected","purple",442
"WGCNA_unprotected_power20","WGCNA","unprotected","red",517
"WGCNA_unprotected_power20","WGCNA","unprotected","yellow",824
"WGCNA_unprotected_power20","WGCNA","unprotected","bisque4",57
"WGCNA_unprotected_power20","WGCNA","unprotected","brown",969
"WGCNA_unprotected_power20","WGCNA","unprotected","plum2",56
"WGCNA_unprotected_power20","WGCNA","unprotected","violet",122
"WGCNA_unprotected_power20","WGCNA","unprotected","green",633
"WGCNA_unprotected_power20","WGCNA","unprotected","greenyellow",414
"WGCNA_unprotected_power20","WGCNA","unprotected","black",493
"WGCNA_unprotected_power20","WGCNA","unprotected","mediumpurple3",76
"WGCNA_unprotected_power20","WGCNA","unprotected","midnightblue",283
"WGCNA_unprotected_power20","WGCNA","unprotected","skyblue3",97
"WGCNA_unprotected_power20","WGCNA","unprotected","steelblue",168
"WGCNA_unprotected_power20","WGCNA","unprotected","darkred",198
"WGCNA_unprotected_power20","WGCNA","unprotected","royalblue",210
"WGCNA_unprotected_power20","WGCNA","unprotected","grey60",248
"WGCNA_unprotected_power20","WGCNA","unprotected","thistle2",49
"WGCNA_unprotected_power20","WGCNA","unprotected","skyblue",176
"WGCNA_unprotected_power20","WGCNA","unprotected","yellowgreen",102
"WGCNA_unprotected_power20","WGCNA","unprotected","saddlebrown",173
"WGCNA_unprotected_power20","WGCNA","unprotected","paleturquoise",159
"WGCNA_unprotected_power20","WGCNA","unprotected","darkmagenta",111
"WGCNA_unprotected_power20","WGCNA","unprotected","lightcyan",267
"WGCNA_unprotected_power20","WGCNA","unprotected","darkolivegreen",112
"WGCNA_unprotected_power20","WGCNA","unprotected","darkgreen",196
"WGCNA_unprotected_power20","WGCNA","unprotected","tan",385
"WGCNA_unprotected_power20","WGCNA","unprotected","palevioletred3",36
"WGCNA_unprotected_power20","WGCNA","unprotected","darkorange",182
"WGCNA_unprotected_power20","WGCNA","unprotected","orange",187
"WGCNA_unprotected_power20","WGCNA","unprotected","ivory",65
"WGCNA_unprotected_power20","WGCNA","unprotected","white",181
"WGCNA_unprotected_power20","WGCNA","unprotected","thistle1",44
"WGCNA_unprotected_power20","WGCNA","unprotected","darkslateblue",56
"WGCNA_unprotected_power20","WGCNA","unprotected","darkorange2",60
"WGCNA_unprotected_power20","WGCNA","unprotected","lightyellow",219
"WGCNA_unprotected_power20","WGCNA","unprotected","darkturquoise",193
"WGCNA_unprotected_power20","WGCNA","unprotected","darkgrey",188
"WGCNA_unprotected_power20","WGCNA","unprotected","maroon",35
"WGCNA_unprotected_power20","WGCNA","unprotected","floralwhite",62
"WGCNA_unprotected_power20","WGCNA","unprotected","sienna3",109
"WGCNA_unprotected_power20","WGCNA","unprotected","brown4",60
"WGCNA_unprotected_power20","WGCNA","unprotected","lightgreen",236
"WGCNA_unprotected_power20","WGCNA","unprotected","lightsteelblue1",75
"WGCNA_unprotected_power20","WGCNA","unprotected","plum1",89
"WGCNA_unprotected_power20","WGCNA","unprotected","navajowhite2",36
"WGCNA_unprotected_power20","WGCNA","unprotected","orangered4",79
"WGCNA_unprotected_power20","WGCNA","unprotected","lightpink4",30
"WGCNA_unprotected_power20","WGCNA","unprotected","salmon4",42
"WGCNA_unprotected_power20","WGCNA","unprotected","lavenderblush3",30
"WGCNA_unprotected_power20","WGCNA","unprotected","lightcyan1",73
"WGCNA_unprotected_power6","WGCNA","unprotected","tan",456
"WGCNA_unprotected_power6","WGCNA","unprotected","greenyellow",561
"WGCNA_unprotected_power6","WGCNA","unprotected","purple",602
"WGCNA_unprotected_power6","WGCNA","unprotected","turquoise",6499
"WGCNA_unprotected_power6","WGCNA","unprotected","grey60",360
"WGCNA_unprotected_power6","WGCNA","unprotected","darkred",243
"WGCNA_unprotected_power6","WGCNA","unprotected","cyan",424
"WGCNA_unprotected_power6","WGCNA","unprotected","green",822
"WGCNA_unprotected_power6","WGCNA","unprotected","magenta",612
"WGCNA_unprotected_power6","WGCNA","unprotected","plum1",101
"WGCNA_unprotected_power6","WGCNA","unprotected","blue",4272
"WGCNA_unprotected_power6","WGCNA","unprotected","brown",1154
"WGCNA_unprotected_power6","WGCNA","unprotected","red",752
"WGCNA_unprotected_power6","WGCNA","unprotected","salmon",432
"WGCNA_unprotected_power6","WGCNA","unprotected","skyblue",173
"WGCNA_unprotected_power6","WGCNA","unprotected","paleturquoise",138
"WGCNA_unprotected_power6","WGCNA","unprotected","yellow",889
"WGCNA_unprotected_power6","WGCNA","unprotected","black",668
"WGCNA_unprotected_power6","WGCNA","unprotected","darkolivegreen",128
"WGCNA_unprotected_power6","WGCNA","unprotected","darkgreen",240
"WGCNA_unprotected_power6","WGCNA","unprotected","white",176
"WGCNA_unprotected_power6","WGCNA","unprotected","lightgreen",315
"WGCNA_unprotected_power6","WGCNA","unprotected","darkturquoise",191
"WGCNA_unprotected_power6","WGCNA","unprotected","lightyellow",281
"WGCNA_unprotected_power6","WGCNA","unprotected","midnightblue",404
"WGCNA_unprotected_power6","WGCNA","unprotected","violet",137
"WGCNA_unprotected_power6","WGCNA","unprotected","pink",648
"WGCNA_unprotected_power6","WGCNA","unprotected","sienna3",120
"WGCNA_unprotected_power6","WGCNA","unprotected","darkorange2",67
"WGCNA_unprotected_power6","WGCNA","unprotected","darkmagenta",123
"WGCNA_unprotected_power6","WGCNA","unprotected","orange",184
"WGCNA_unprotected_power6","WGCNA","unprotected","brown4",66
"WGCNA_unprotected_power6","WGCNA","unprotected","lightcyan",377
"WGCNA_unprotected_power6","WGCNA","unprotected","saddlebrown",151
"WGCNA_unprotected_power6","WGCNA","unprotected","darkorange",178
"WGCNA_unprotected_power6","WGCNA","unprotected","orangered4",99
"WGCNA_unprotected_power6","WGCNA","unprotected","lightcyan1",76
"WGCNA_unprotected_power6","WGCNA","unprotected","bisque4",64
"WGCNA_unprotected_power6","WGCNA","unprotected","floralwhite",69
"WGCNA_unprotected_power6","WGCNA","unprotected","yellowgreen",109
"WGCNA_unprotected_power6","WGCNA","unprotected","royalblue",279
"WGCNA_unprotected_power6","WGCNA","unprotected","darkslateblue",61
"WGCNA_unprotected_power6","WGCNA","unprotected","thistle1",47
"WGCNA_unprotected_power6","WGCNA","unprotected","ivory",70
"WGCNA_unprotected_power6","WGCNA","unprotected","darkgrey",190
"WGCNA_unprotected_power6","WGCNA","unprotected","thistle2",57
"WGCNA_unprotected_power6","WGCNA","unprotected","mediumpurple3",95
"WGCNA_unprotected_power6","WGCNA","unprotected","steelblue",145
"WGCNA_unprotected_power6","WGCNA","unprotected","skyblue3",106
"WGCNA_unprotected_power6","WGCNA","unprotected","plum2",58
"WGCNA_unprotected_power6","WGCNA","unprotected","lightsteelblue1",80
"GCNA_protected","GCNA","protected","Vitvi00g04005",31
"GCNA_protected","GCNA","protected","Vitvi00g04500",31
"GCNA_protected","GCNA","protected","Vitvi00g04634",37
"GCNA_protected","GCNA","protected","Vitvi00g04728",36
"GCNA_protected","GCNA","protected","Vitvi01g00463",80
"GCNA_protected","GCNA","protected","Vitvi01g00508",453
"GCNA_protected","GCNA","protected","Vitvi01g00612",120
"GCNA_protected","GCNA","protected","Vitvi01g00656",1346
"GCNA_protected","GCNA","protected","Vitvi01g01038",215
"GCNA_protected","GCNA","protected","Vitvi01g01701",53
"GCNA_protected","GCNA","protected","Vitvi01g04056",162
