"","salmon","brown","magenta","turquoise","greenyellow","royalblue","tan","black","red","floralwhite","blue","yellow","pink","skyblue3","steelblue","green","yellowgreen","darkorange","darkgrey","lightcyan","grey60","skyblue","paleturquoise","mediumpurple3","darkgreen","purple","cyan","darkmagenta","white","thistle2","sienna3","lightyellow","maroon","midnightblue","navajowhite2","saddlebrown","lightgreen","lightcyan1","thistle1","bisque4","honeydew1","orange","brown4","lightpink4","plum1","darkred","ivory","darkslateblue","violet","salmon4","plum2","darkturquoise","lightsteelblue1","orangered4","palevioletred3","darkolivegreen","coral1","darkseagreen4","lavenderblush3","darkorange2"
"Vitvi05g04494",0,0,0,0,0,0,0,0.00116009280742459,0,0,0,0,0,0,0,0.108644859813084,0,0,0,0,0,0,0.00429184549356223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi06g01410",0,0,0,0.0105481860316446,0,0,0,0.00717703349282297,0.00227531285551763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi06g01618",0,0,0,0,0,0,0,0.12258064516129,0.00776053215077605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi06g04121",0,0,0,0,0,0,0,0.0856031128404669,0,0,0,0,0,0,0,0,0,0,0.0111524163568773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g00283",0,0,0,0.00287448099648675,0,0.00340136054421769,0,0.0050314465408805,0.00963855421686747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g00523",0,0.00494315373208107,0,0,0,0,0,0,0,0,0.169617893755825,0.00325379609544469,0,0,0,0,0,0.00106951871657754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g00890",0,0,0,0,0,0,0,0.00114285714285714,0,0,0,0,0,0,0,0.125146198830409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g01267",0,0,0,0.119897959183673,0,0,0,0,0.0141025641025641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00113250283125708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g01315",0.0390455531453362,0.00217864923747277,0,0,0,0,0,0,0,0,0,0,0.00126262626262626,0,0,0,0,0,0,0,0,0,0,0,0,0.134268537074148,0,0,0,0,0,0,0,0,0,0,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,0,0.00446428571428571,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g01342",0,0,0,0.0702512401984317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g01407",0,0,0,0.00767754318618042,0,0,0,0.00122249388753056,0,0,0,0,0,0,0,0.00221483942414175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g01719",0,0,0.0255402750491159,0.00207601405301821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
