common_name	vitvi_id	source	genotype	timing	log2FC_apeglm	padj_threshold_test	DE_primary
RPP8	Vitvi16g00787	41_retained_homologs	Rpv12+1	24	10.2434109184158	8.58090384369058e-05	TRUE
SARD4	Vitvi16g01127	41_retained_homologs	Rpv12+1	24	-2.38490404093437	0.00284259594664703	TRUE
EDS1	Vitvi17g01513	41_retained_homologs	Rpv12+1	24	-0.457227780336091	1	FALSE
EDS1	Vitvi17g01515	41_retained_homologs	Rpv12+1	24	-2.79783275952184	0.0283656697541018	TRUE
EDS1	Vitvi17g01520	41_retained_homologs	Rpv12+1	24	-1.27878050544422	1	TRUE
SRC2	Vitvi18g02114	41_retained_homologs	Rpv12+1	24	-4.40810421722529	0.0871563765604905	TRUE
ZAR1	Vitvi19g04138	41_retained_homologs	Rpv12+1	24	0.362301099670843	1	FALSE
ZAR1	Vitvi19g02165	41_retained_homologs	Rpv12+1	24	-1.20897909045268	1	TRUE
NAC21/22	Vitvi19g01484	41_retained_homologs	Rpv12+1	24	1.53491021909583	0.725335935389634	TRUE
RPS5	Vitvi19g04600	41_retained_homologs	Rpv12+1	24	0.345690591177899	1	FALSE
RPS5	Vitvi19g01648	41_retained_homologs	Rpv12+1	24	0.029335352281457	1	FALSE
CSLG2	Vitvi02g04029	41_retained_homologs	Rpv12+1	24	-2.58133303404663	0.233396564974773	TRUE
SRG1	Vitvi02g01473	41_retained_homologs	Rpv12+1	24	-3.40940944807095	0.0403885676543082	TRUE
RPP13	Vitvi03g01373	41_retained_homologs	Rpv12+1	24	-0.0473240796489562	1	FALSE
RPP13	Vitvi03g04047	41_retained_homologs	Rpv12+1	24	2.77206403774716	1.29033861263545e-05	TRUE
RPP13	Vitvi03g04050	41_retained_homologs	Rpv12+1	24	7.09579469726787	9.98919474487619e-18	TRUE
RIPK	Vitvi04g00179	41_retained_homologs	Rpv12+1	24	-0.623217945713332	1	FALSE
WRKY51	Vitvi04g00760	41_retained_homologs	Rpv12+1	24	-4.19417602837606	0.003117708278942	TRUE
ACD6	Vitvi05g00637	41_retained_homologs	Rpv12+1	24	-2.25618593711358	0.020289014077788	TRUE
CSLG2	Vitvi05g00675	41_retained_homologs	Rpv12+1	24	0.787766408146793	1	FALSE
CSLG2	Vitvi05g00681	41_retained_homologs	Rpv12+1	24	-0.281027771975834	1	FALSE
SRC2	Vitvi07g02185	41_retained_homologs	Rpv12+1	24	0.0716989244621202	1	FALSE
MYB12	Vitvi07g00393	41_retained_homologs	Rpv12+1	24	-0.183700363175784	1	FALSE
WRKY47	Vitvi07g00523	41_retained_homologs	Rpv12+1	24	0.144651255452057	1	FALSE
WRKY51	Vitvi07g01847	41_retained_homologs	Rpv12+1	24	-2.17968557712179	0.0326419497555051	TRUE
DPA	Vitvi08g01185	41_retained_homologs	Rpv12+1	24	0.32460675568273	1	FALSE
RPS5	Vitvi09g01588	41_retained_homologs	Rpv12+1	24	-1.86278811404812	0.000808105810058229	TRUE
RPS5	Vitvi09g00368	41_retained_homologs	Rpv12+1	24	-8.31008184524432	0.000701178856229269	TRUE
RPS5	Vitvi09g00419	41_retained_homologs	Rpv12+1	24	0.0291428036793852	1	FALSE
RPS5	Vitvi09g04351	41_retained_homologs	Rpv12+1	24	-0.986369587351362	1	FALSE
RPS5	Vitvi09g02033	41_retained_homologs	Rpv12+1	24	3.4002404433488	3.686585152461e-14	TRUE
NAC29	Vitvi01g01038	41_retained_homologs	Rpv12+1+3	0	3.14158057816406	3.24666371569599e-05	TRUE
CSLG2	Vitvi01g04261	41_retained_homologs	Rpv12+1+3	0	1.65394909233187	0.15565810112376	TRUE
SRG1	Vitvi10g00685	41_retained_homologs	Rpv12+1+3	0	3.43144624961463	0.0159699504360398	TRUE
SRG1	Vitvi10g00687	41_retained_homologs	Rpv12+1+3	0	0.381134806879045	1	FALSE
SRG1	Vitvi10g00694	41_retained_homologs	Rpv12+1+3	0	0.442833333059225	1	FALSE
MAPKKK1	Vitvi12g01776	41_retained_homologs	Rpv12+1+3	0	-10.3245077573632	2.76362638074963e-07	TRUE
WRKY55	Vitvi13g00189	41_retained_homologs	Rpv12+1+3	0	-0.608753471104575	1	FALSE
MIK2	Vitvi14g03057	41_retained_homologs	Rpv12+1+3	0	0.292448797473542	1	FALSE
RPP13	Vitvi15g01670	41_retained_homologs	Rpv12+1+3	0	-4.91485607144176	0.0693489574626129	TRUE
RPP13	Vitvi15g01686	41_retained_homologs	Rpv12+1+3	0	2.48006030927809	0.0407127024561374	TRUE
RPP8	Vitvi16g00787	41_retained_homologs	Rpv12+1+3	0	-0.374834298215121	6.88534486646736e-05	FALSE
