"anchor","anchor_label","partner","r_protected"
"Vitvi17g04216","EDS1","Vitvi12g00262",0.903431764309779
"Vitvi17g04216","EDS1","Vitvi12g00303",0.838537562208335
"Vitvi17g04216","EDS1","Vitvi12g00443",0.865410071148196
"Vitvi17g04216","EDS1","Vitvi12g00445",0.819363469532612
"Vitvi17g04216","EDS1","Vitvi12g00678",0.838200852293861
"Vitvi17g04216","EDS1","Vitvi12g00721",0.836984538497912
"Vitvi17g04216","EDS1","Vitvi12g00741",0.840572457105594
"Vitvi17g04216","EDS1","Vitvi12g02028",0.852125326751859
"Vitvi17g04216","EDS1","Vitvi12g02493",0.902945238172235
"Vitvi17g04216","EDS1","Vitvi12g02578",0.837147011868211
"Vitvi17g04216","EDS1","Vitvi12g02641",0.896685038821614
"Vitvi17g04216","EDS1","Vitvi12g04354",0.823843488099071
"Vitvi17g04216","EDS1","Vitvi13g00066",0.827602963809587
"Vitvi17g04216","EDS1","Vitvi13g00113",0.867541486802893
"Vitvi17g04216","EDS1","Vitvi13g00241",0.81984210217421
"Vitvi17g04216","EDS1","Vitvi13g00495",0.859182772909511
"Vitvi17g04216","EDS1","Vitvi13g00622",0.891920561189175
"Vitvi17g04216","EDS1","Vitvi13g00717",0.851750153737854
"Vitvi17g04216","EDS1","Vitvi13g00843",0.824688358670242
"Vitvi17g04216","EDS1","Vitvi13g00934",0.847861460593335
"Vitvi17g04216","EDS1","Vitvi13g01429",0.842297295391837
"Vitvi17g04216","EDS1","Vitvi13g01611",0.854317609888953
"Vitvi17g04216","EDS1","Vitvi13g01645",0.884283402245374
"Vitvi17g04216","EDS1","Vitvi13g01731",0.856962378207701
"Vitvi17g04216","EDS1","Vitvi13g01916",0.835838915615764
"Vitvi17g04216","EDS1","Vitvi13g01979",0.875415787094407
"Vitvi17g04216","EDS1","Vitvi13g01980",0.838417700502252
"Vitvi17g04216","EDS1","Vitvi13g04040",0.849735818158599
"Vitvi17g04216","EDS1","Vitvi13g04620",0.831201114880084
