"matrix","grouping","level","n","method","r","slope"
"vst_blind","myTime","6",12,"pearson",-0.00030600636901689,-9.20076235452214e-05
"vst_blind","myTime","24",12,"pearson",0.0300083579210584,0.0107655801639301
"vst_blind","myResistance","GLOBAL",36,"spearman",-0.0141292832382687,0.00655777449786485
"vst_blind","myResistance","Rpv1",9,"spearman",0.0337586108429477,0.00931806400298529
"vst_blind","myResistance","Rpv1.12",9,"spearman",0.0115572152211368,0.00797542120018294
"vst_blind","myResistance","Rpv1.12.3",9,"spearman",-0.0631159713476133,-0.00739760373478858
"vst_blind","myResistance","Susceptible",9,"spearman",-0.0192206506697618,0.0125564273753726
"vst_blind","myResistance","GLOBAL",36,"pearson",0.020632058676415,0.00655777449786485
"vst_blind","myResistance","Rpv1",9,"pearson",0.0479512263462944,0.00931806400298529
"vst_blind","myResistance","Rpv1.12",9,"pearson",0.0351308176488372,0.00797542120018294
"vst_blind","myResistance","Rpv1.12.3",9,"pearson",-0.053835532195855,-0.00739760373478858
"vst_blind","myResistance","Susceptible",9,"pearson",0.0488304333529441,0.0125564273753726
"vst_design","condition","GLOBAL",36,"spearman",0.131123493962555,0.0190743534166737
"vst_design","condition","Rpv12.0",3,"spearman",0.0273960144763816,0.000635561149213827
"vst_design","condition","Rpv12.1.0",3,"spearman",-0.0819286175160346,-0.00271920739124676
"vst_design","condition","Rpv12.1.24",3,"spearman",0.142702076232891,0.0248736999567696
"vst_design","condition","Rpv12.1.3.0",3,"spearman",0.000316554631770461,-0.00402583334069889
"vst_design","condition","Rpv12.1.3.24",3,"spearman",0.0743556035480899,0.00664315402596692
"vst_design","condition","Rpv12.1.3.6",3,"spearman",0.164300096250765,0.0037034743490006
"vst_design","condition","Rpv12.1.6",3,"spearman",0.140009626250582,0.00736743017222636
"vst_design","condition","Rpv12.24",3,"spearman",-0.225212465157291,-0.00292779127954393
"vst_design","condition","Rpv12.6",3,"spearman",0.174402377130247,0.0207216577856112
"vst_design","condition","Susceptible.0",3,"spearman",0.0666779481188529,0.0238350519920742
"vst_design","condition","Susceptible.24",3,"spearman",0.122356347748365,0.0218508095162169
"vst_design","condition","Susceptible.6",3,"spearman",-0.377755585191613,-0.00415235952334597
"vst_design","condition","GLOBAL",36,"pearson",0.0640777202125898,0.0190743534166737
"vst_design","condition","Rpv12.0",3,"pearson",0.0163583781625984,0.000635561149213827
"vst_design","condition","Rpv12.1.0",3,"pearson",-0.0604553896832135,-0.00271920739124676
"vst_design","condition","Rpv12.1.24",3,"pearson",0.054827393408274,0.0248736999567696
"vst_design","condition","Rpv12.1.3.0",3,"pearson",-0.0877152960674603,-0.00402583334069889
"vst_design","condition","Rpv12.1.3.24",3,"pearson",0.0338854947030017,0.00664315402596692
"vst_design","condition","Rpv12.1.3.6",3,"pearson",0.0438984795756796,0.0037034743490006
"vst_design","condition","Rpv12.1.6",3,"pearson",0.0416718414031125,0.00736743017222636
"vst_design","condition","Rpv12.24",3,"pearson",-0.211133765006828,-0.00292779127954393
"vst_design","condition","Rpv12.6",3,"pearson",0.101897691452544,0.0207216577856112
"vst_design","condition","Susceptible.0",3,"pearson",0.0609864014859715,0.0238350519920742
"vst_design","condition","Susceptible.24",3,"pearson",0.0626335103368007,0.0218508095162169
"vst_design","condition","Susceptible.6",3,"pearson",-0.330104970571025,-0.00415235952334597
"vst_design","myTime","GLOBAL",36,"spearman",0.131123493962555,0.0190743534166737
"vst_design","myTime","0",12,"spearman",0.0909776852795665,0.0187318433325821
"vst_design","myTime","6",12,"spearman",0.100184091310536,0.0113044703419202
"vst_design","myTime","24",12,"spearman",0.134749396423354,0.0241300195599543
"vst_design","myTime","GLOBAL",36,"pearson",0.0640777202125898,0.0190743534166737
"vst_design","myTime","0",12,"pearson",0.0580616023385278,0.0187318433325821
"vst_design","myTime","6",12,"pearson",0.0405035992622496,0.0113044703419202
"vst_design","myTime","24",12,"pearson",0.0712157719474606,0.0241300195599543
"vst_design","myResistance","GLOBAL",36,"spearman",0.131123493962555,0.0190743534166737
"vst_design","myResistance","Rpv1",9,"spearman",0.168373481675636,0.0177713843880449
"vst_design","myResistance","Rpv1.12",9,"spearman",0.145320069909957,0.0165657918722725
"vst_design","myResistance","Rpv1.12.3",9,"spearman",0.0796503921883823,-0.00039362701439051
"vst_design","myResistance","Susceptible",9,"spearman",0.114286464291267,0.0212702301048012
"vst_design","myResistance","GLOBAL",36,"pearson",0.0640777202125898,0.0190743534166737
"vst_design","myResistance","Rpv1",9,"pearson",0.0974755765614871,0.0177713843880449
"vst_design","myResistance","Rpv1.12",9,"pearson",0.0777491284753829,0.0165657918722725
"vst_design","myResistance","Rpv1.12.3",9,"pearson",-0.00314003551582766,-0.00039362701439051
"vst_design","myResistance","Susceptible",9,"pearson",0.0878779557099012,0.0212702301048012
"rlog_design_noBE","condition","GLOBAL",36,"spearman",0.136513862541429,0.0084338347732851
"rlog_design_noBE","condition","Rpv12.0",3,"spearman",0.0918120818780786,0.000677204898755756
"rlog_design_noBE","condition","Rpv12.1.0",3,"spearman",-0.00854816547149209,-0.00114558756130499
"rlog_design_noBE","condition","Rpv12.1.24",3,"spearman",0.16330957459681,0.0112766553585437
"rlog_design_noBE","condition","Rpv12.1.3.0",3,"spearman",0.0514893947774218,-0.00191182848406024
"rlog_design_noBE","condition","Rpv12.1.3.24",3,"spearman",0.133726606905464,0.00353917497498141
"rlog_design_noBE","condition","Rpv12.1.3.6",3,"spearman",0.204365468387151,0.00170984698082601
"rlog_design_noBE","condition","Rpv12.1.6",3,"spearman",0.17914296449519,0.00296940603314723
"rlog_design_noBE","condition","Rpv12.24",3,"spearman",-0.131456100599687,-0.00097789744614533
"rlog_design_noBE","condition","Rpv12.6",3,"spearman",0.198167230994485,0.00970528921752591
"rlog_design_noBE","condition","Susceptible.0",3,"spearman",0.113564346975442,0.0125779298957747
"rlog_design_noBE","condition","Susceptible.24",3,"spearman",0.15078952397287,0.0085106895987989
"rlog_design_noBE","condition","Susceptible.6",3,"spearman",-0.278269767127671,-0.00151144106576211
