"set","gene","mean_within_condition_variance","median_within_condition_variance"
"Shared","Vitvi06g04121",0.065092930178301,0.0228951650130797
"Shared","Vitvi06g01678",0.193213199888294,0.0824611356886359
"Shared","Vitvi06g00495",0.861030613149517,0.393309838962095
"Shared","Vitvi06g00529",0.264350890179243,0.0463774938183889
"Shared","Vitvi06g04208",0.311216770210801,0.0513074721523467
"Shared","Vitvi06g04211",0.509173323673985,0.110643890054906
"Shared","Vitvi06g00629",0.27787469814632,0.0721610956790965
"Shared","Vitvi06g00772",0.622934493265024,0.257759883438954
"Shared","Vitvi06g01396",0.307882225373899,0.113905535919292
"Shared","Vitvi06g01417",0.372020015025879,0.166587972460172
"Shared","Vitvi07g00060",0.159288205044631,0.0803509189572522
"Shared","Vitvi07g00105",0.494969716814199,0.314663978772136
"Shared","Vitvi07g02062",0.253757019266687,0.0737323172384337
"Shared","Vitvi07g02294",0.205928464110183,0.144671440715325
"Shared","Vitvi07g04167",0.710795476823386,0.143911378548404
"Shared","Vitvi07g02345",0.6421225663186,0.21712945365262
"Shared","Vitvi07g01315",0.073043141116659,0.0406158746647944
"Shared","Vitvi07g01342",0.655865347462624,0.484779917837448
"Shared","Vitvi07g04561",0.112637216638582,0.0322510080892275
"Shared","Vitvi07g04568",0.179308563742984,0.0442157268537125
"Shared","Vitvi07g01645",0.240443259535999,0.0639232878505008
"Shared","Vitvi07g01718",0.150613089831419,0.0687015515131442
"Shared","Vitvi07g01719",0.100851754760731,0.0569647447670117
"Shared","Vitvi07g01807",0.514811607590779,0.110782725479551
"Shared","Vitvi07g01847",0.282883714013173,0.217823008271392
"Shared","Vitvi07g01920",0.115436569017329,0.0301236171346851
"Shared","Vitvi08g00703",0.234683611396226,0.0812357296989624
"Shared","Vitvi08g04102",0.159151341868382,0.0622940191678211
"Shared","Vitvi08g02069",0.557140469063357,0.103369295193628
"Shared","Vitvi08g00723",0.378228082532177,0.0883880902514283
"Shared","Vitvi08g04118",0.0525785944961607,0.0351462977309844
"Shared","Vitvi08g00768",0.211792692727878,0.102963321201334
"Shared","Vitvi08g01174",0.380890873461815,0.257996978874638
"Shared","Vitvi08g01185",0.0292142943170044,0.0195739861190356
"Shared","Vitvi08g01297",0.482851255825655,0.09958762526638
"Shared","Vitvi08g02288",0.349961136654617,0.0642271452503047
"Shared","Vitvi08g02289",0.322998302106256,0.0786717739717893
"Shared","Vitvi08g01846",0.15027472099744,0.0845359594329353
"Shared","Vitvi09g00038",0.429375995784986,0.0324743185023385
"Shared","Vitvi09g00233",0.306693923508649,0.10340621710452
"Shared","Vitvi09g01555",0.9575334393963,0.470092767254778
"Shared","Vitvi09g01556",1.20757286246744,0.357769780753737
"Shared","Vitvi09g00253",1.3442549975371,0.233692133604635
"Shared","Vitvi09g00255",0.142011181268345,0.0526293245583949
"Shared","Vitvi09g01560",0.18801408623748,0.0549657212656755
"Shared","Vitvi09g04078",0.0903856811600282,0.0776111425737752
"Shared","Vitvi09g00394",0.158422349263435,0.0687238173337765
"Shared","Vitvi09g00419",0.040318773945198,0.0159909065610242
"Shared","Vitvi09g00566",0.395681286954496,0.172664282813939
"Shared","Vitvi09g01664",0.680748223682169,0.131998536304296
"Shared","Vitvi09g04205",0.237948661390025,0.046114857741696
"Shared","Vitvi09g04212",0.0545118845007036,0.0360677509916309
"Shared","Vitvi09g04219",0.474176119317203,0.0927839625606584
"Shared","Vitvi09g04222",0.0868464190135102,0.0438952440821026
"Shared","Vitvi09g01698",0.0425671441861756,0.0338981647931487
"Shared","Vitvi09g04280",0.0220980505962128,5.30191417277818e-05
