"gene","historical_3553","new_min_FDR","new_max_abs_log2FC","FDR_percentile","absLFC_percentile"
"Vitvi04g01857",FALSE,0.0319348316491721,0.554431970703414,0.638713745271122,0.613015399900646
"Vitvi04g01858",FALSE,0.0114506113335879,0.577605383787766,0.524628377087394,0.593947036569987
"Vitvi04g01866",FALSE,Inf,0.0185056465439086,0.970728724827085,0.996713668844816
"Vitvi04g01870",FALSE,0.149993972809598,0.171870306371088,0.820914058618977,0.909052695937942
"Vitvi04g01873",FALSE,0.00290975200968281,1.21572153869023,0.396576101494134,0.308418357598685
"Vitvi04g01874",FALSE,0.0436820329417392,0.267587977103163,0.677175283732661,0.8605602048225
"Vitvi04g01877",FALSE,0.000270407542607707,1.04242154915574,0.246551262944706,0.356375864572586
"Vitvi04g01880",FALSE,0.0155950512224944,0.38091841336591,0.557797393862968,0.765676946004815
"Vitvi04g01883",FALSE,0.429211794707761,0.199805776266237,0.917383163284803,0.898276586801177
"Vitvi04g01885",FALSE,0.00999908504205099,0.422482143101064,0.508846344911919,0.727043448354924
"Vitvi04g01887",TRUE,2.04663174370154e-10,3.56607040688272,0.0359585769421835,0.0832664603156406
"Vitvi04g01888",FALSE,0.0148411700855245,1.64505895855286,0.551988994611945,0.231227788604838
"Vitvi04g01889",TRUE,1.63213361250738e-07,3.47622941623925,0.0755474034162559,0.0868584966945623
"Vitvi04g01893",FALSE,2.2656834695475e-05,0.575649871791649,0.155909664106385,0.59585769421835
"Vitvi04g01894",TRUE,0.0617571241157285,1.08911942819705,0.717375520654209,0.342466276892506
"Vitvi04g01895",FALSE,1.61184914355699e-05,1.12114490255474,0.146146203523253,0.332721922885857
"Vitvi04g01897",FALSE,0.00335903283252163,1.75618067621157,0.408766097290687,0.216477511559479
"Vitvi04g01898",FALSE,0.201094594817414,0.373860173443203,0.853108639993886,0.77186747678551
"Vitvi04g01899",FALSE,0.0152697846641978,0.517315116793982,0.555619244143834,0.642745232909167
"Vitvi04g01900",FALSE,0.0766229795460146,0.812536318781977,0.7429401199893,0.446062134586725
"Vitvi04g01901",FALSE,0.14421812013548,0.440770395406062,0.817570407734342,0.71000038213153
"Vitvi04g01902",FALSE,0.000162418366488297,0.893121876940727,0.224005502694027,0.410523902327181
"Vitvi04g01903",TRUE,0.0028494847071096,2.84681169294064,0.395276854293248,0.117008674385724
"Vitvi04g01904",FALSE,0.00370418600868031,0.991434349225229,0.417134777790515,0.372883946654438
"Vitvi04g01906",TRUE,6.36047609201486e-08,1.6897108325342,0.0669112308456571,0.226069012954259
"Vitvi04g01907",FALSE,0.000142203942025263,4.94034155762746,0.218502808666743,0.0497917383163285
"Vitvi04g01909",FALSE,0.000344151532932542,1.11529766474323,0.258932324506095,0.334365088463449
"Vitvi04g01914",FALSE,0.413100732836626,0.285361334135176,0.91478466888303,0.846727043448355
"Vitvi04g01916",FALSE,Inf,0.043106902633986,0.970728724827085,0.967862738354542
"Vitvi04g01917",FALSE,Inf,0.05746913241158,0.970728724827085,0.955519889946119
"Vitvi04g01918",FALSE,0.01331306897976,2.70535475477161,0.54115556574573,0.126026978485995
"Vitvi04g01919",FALSE,Inf,0.0309475605982704,0.970728724827085,0.982918720623639
"Vitvi04g01920",FALSE,0.00038237535818286,2.96022206029661,0.264358592227445,0.110053880545684
"Vitvi04g01923",FALSE,0.18238829186454,0.318572651403972,0.842408957163056,0.82066567312469
"Vitvi04g01926",FALSE,Inf,0.0873087357894172,0.970728724827085,0.94050212082999
"Vitvi04g01927",FALSE,0.0524299737878876,0.290569330363126,0.699071420382896,0.842714662386793
"Vitvi04g01929",FALSE,0.063457231643519,0.292861091442742,0.721082196492033,0.840574725820627
"Vitvi04g01930",FALSE,0.246829300094039,0.55111878833538,0.873590889984333,0.615346402231648
"Vitvi04g01934",TRUE,1.65429968276818e-07,2.75108257668904,0.0756620428751576,0.122817073636746
"Vitvi04g01935",TRUE,0.000148602668660237,3.9602045101022,0.220107761091368,0.0706561198364477
"Vitvi04g01936",FALSE,0.0603078114478839,1.16162494085436,0.71500630517024,0.322939355726241
"Vitvi04g01937",TRUE,5.28725796248672e-05,2.79666603653402,0.181436050288509,0.119989300317169
"Vitvi04g01940",TRUE,0.00783263167074382,2.18035630489301,0.485880239978601,0.16863464404448
"Vitvi04g01941",TRUE,7.0441436754235e-13,3.81930045032979,0.0222400550269403,0.0743627956742711
