"gene","baseMean","log2FC_MLE","log2FC_apeglm","lfcSE_apeglm","statistic_zero_null","pvalue_zero_null","padj_zero_null","DE_primary"
"Vitvi07g01978",2119.12382895988,-0.245756586612648,-0.231501157412653,0.123611518948467,-1.9417958605385,0.0521618182095364,0.130896859313684,FALSE
"Vitvi07g04764",65.2732204183208,1.412297075421,1.13831387446272,0.49155556265998,3.06840589015034,0.00215204099851409,0.0101165404463931,TRUE
"Vitvi07g01979",1107.31346762407,1.2718915561315,1.22526374636851,0.196528045665074,6.53702726706096,6.27536114820655e-11,1.96293999837598e-09,TRUE
"Vitvi07g01980",153.749802618481,0.462826452124342,0.374383824325122,0.253706142040789,1.71580171319936,0.0861983405159746,0.192207841162518,FALSE
"Vitvi07g01983",1042.82502476328,0.307068080498959,0.269798742511854,0.185608766618263,1.57635991235111,0.114942881448335,0.237741647922495,FALSE
"Vitvi07g01984",1205.59019210822,0.428887664709766,0.405094392217172,0.135238190177463,3.12747314200382,0.00176315928523057,0.00858291183006527,FALSE
"Vitvi07g01985",9986.76240287637,0.853989891359105,0.785704997352644,0.212366660014913,4.04944755428792,5.13386810443569e-05,0.000417400110099988,FALSE
"Vitvi07g01988",3622.4737346467,-1.00106623452491,-0.880853801820432,0.295044034042466,-3.45293089374853,0.000554531044991866,0.00323627547813156,FALSE
"Vitvi07g01989",2544.78344371825,0.282256451395417,0.267985796888509,0.118497412864697,2.33599251534032,0.0194916316262859,0.0612272996823444,FALSE
"Vitvi07g01990",313.224629158148,-0.648832428176174,-0.344729052269268,0.412868787759965,-1.27734663632006,0.201479895648802,0.358684215450446,FALSE
"Vitvi07g02717",10070.7044422456,0.429574135466806,0.388390655060262,0.180032828163032,2.32259720408346,0.0202008010655124,0.0629415026502726,FALSE
"Vitvi07g01991",108.845927957327,0.0584735673454858,0.0441565382617786,0.244486453636609,0.20672143014192,0.836227420055805,0.905298264640152,FALSE
"Vitvi07g04765",4.45016692301613,-0.949544019877053,-0.111105649238275,0.473397848815966,-0.710762963617571,0.477231134917651,NA,FALSE
"Vitvi07g01994",0.86421137757831,-0.852904611521916,-0.0253725192411209,0.479163564019466,-0.30932761315864,0.757072328006059,NA,FALSE
"Vitvi07g04766",1.22826079619184,-3.85005841882204,-0.0456223703379062,0.487997528932369,-0.975681804298524,0.329222171907732,NA,FALSE
"Vitvi07g01995",581.024864522535,0.237520363872085,0.220423405470981,0.138502502145628,1.66296244287303,0.0963199536319079,0.20860563367645,FALSE
"Vitvi07g01996",1532.05553625505,0.196600940509886,0.176814900422103,0.160257913409877,1.170356072194,0.241857705593942,0.407860893105862,FALSE
"Vitvi07g01998",870.593590915631,-0.266116263032567,-0.249327687761246,0.129986307065185,-1.99670000337273,0.0458577817733309,0.118760169077641,FALSE
"Vitvi07g01999",1726.33367374815,0.29214493903335,0.277644567701826,0.118105249955129,2.42824232738085,0.0151722020168399,0.0503128034538817,FALSE
"Vitvi07g02000",0.270325438138551,1.4917284483246,0.0345874598465398,0.485651151017607,0.367881404132061,0.712961666739637,NA,FALSE
"Vitvi07g02001",3181.08133499868,0.243291984521674,0.230090178213455,0.123599788589006,1.92229280385397,0.0545689249721212,0.13553629563249,FALSE
"Vitvi07g02003",3607.14600521568,-0.189790561746826,-0.155798668692157,0.210575255911549,-0.825401858875181,0.409143479928121,0.579906453352745,FALSE
"Vitvi07g02005",1287.57156159028,-1.12248088608284,-0.883334332506618,0.425231426451385,-2.74082668283846,0.00612848251662507,0.0239792446612306,FALSE
"Vitvi07g02006",540.62414641821,0.257821166018029,0.156891962817693,0.319285125453971,0.640587347638223,0.521790822061524,0.68038744861759,FALSE
"Vitvi07g02009",663.369880765839,-0.560359405867037,-0.456179503809737,0.266038379644686,-2.01961863754473,0.043422960416791,0.113839583085138,FALSE
"Vitvi07g02010",699.422936346288,0.337505738612205,0.301788762725094,0.176134950727402,1.84403746063092,0.0651776810101084,0.15568752167698,FALSE
"Vitvi07g02011",482.903177713957,-0.593124632580561,-0.555498025657142,0.160810126647384,-3.66163267402283,0.000250613018367226,0.0016399984021823,FALSE
"Vitvi07g02012",0.760433924447406,0.462218447900429,0.0146871617601247,0.47850478969353,0.165284406638453,0.86872013171468,NA,FALSE
"Vitvi07g02013",8781.32457332218,-0.101808572303814,-0.106603868988621,0.116749836435567,-0.848535799202491,0.39613964412064,0.567657998011975,FALSE
"Vitvi07g02014",343.056663424226,-0.142038409725358,-0.124326209233773,0.173322686070774,-0.770993924533065,0.440710532729425,0.608380812828762,FALSE
"Vitvi07g02015",1597.05149992196,-2.07558069773923,-2.04730592708242,0.179097793181013,-11.6548135237174,2.16854632425975e-31,7.12239905970841e-29,TRUE
"Vitvi07g02721",1.39184312315322,-1.97220681821743,-0.0713889514642889,0.4851183056467,-0.799482653903811,0.424010600777873,NA,FALSE
"Vitvi07g02722",667.242397789491,-0.4892986290886,-0.457287085723004,0.151471758378739,-3.1866194425768,0.00143946037921556,0.00723585597780787,FALSE
