"power","gene","WGCNA_module"
6,"Vitvi08g02218","green"
6,"Vitvi08g02288","midnightblue"
6,"Vitvi09g00419","pink"
6,"Vitvi09g00867","green"
6,"Vitvi09g01646","blue"
6,"Vitvi09g01698","purple"
6,"Vitvi09g04280","green"
6,"Vitvi10g00562","turquoise"
6,"Vitvi10g00984","green"
6,"Vitvi10g01812","turquoise"
6,"Vitvi10g04044","green"
6,"Vitvi10g04085","green"
6,"Vitvi10g04276","turquoise"
6,"Vitvi10g04282","blue"
6,"Vitvi10g04464","midnightblue"
6,"Vitvi10g04504","green"
6,"Vitvi11g00075","blue"
6,"Vitvi11g00217","green"
6,"Vitvi11g00285","turquoise"
6,"Vitvi11g00286","turquoise"
6,"Vitvi11g01637","darkgrey"
6,"Vitvi12g00368","lightcyan"
6,"Vitvi12g01776","yellow"
6,"Vitvi12g01881","blue"
6,"Vitvi12g01882","tan"
6,"Vitvi12g01921","pink"
6,"Vitvi12g02011","pink"
6,"Vitvi12g02633","pink"
6,"Vitvi12g04108","pink"
6,"Vitvi12g04404","pink"
6,"Vitvi12g04463","pink"
6,"Vitvi12g04498","pink"
6,"Vitvi12g04515","pink"
6,"Vitvi12g04518","darkgrey"
6,"Vitvi12g04543","purple"
6,"Vitvi12g04545","pink"
6,"Vitvi12g04595","green"
6,"Vitvi12g04598","pink"
6,"Vitvi12g04607","pink"
6,"Vitvi12g04630","yellow"
6,"Vitvi13g00004","turquoise"
6,"Vitvi13g00551","turquoise"
6,"Vitvi13g01098","blue"
6,"Vitvi13g01468","green"
6,"Vitvi13g01608","green"
6,"Vitvi13g01616","green"
6,"Vitvi13g01638","green"
6,"Vitvi13g01984","green"
6,"Vitvi13g04528","green"
6,"Vitvi13g04529","green"
6,"Vitvi13g04677","green"
6,"Vitvi13g04698","green"
6,"Vitvi13g04706","green"
6,"Vitvi14g00438","blue"
6,"Vitvi14g01926","turquoise"
6,"Vitvi14g04416","midnightblue"
6,"Vitvi15g01247","purple"
6,"Vitvi16g00901","green"
6,"Vitvi16g04295","black"
6,"Vitvi16g04448","yellowgreen"
6,"Vitvi17g00339","tan"
6,"Vitvi17g00461","pink"
6,"Vitvi17g00704","turquoise"
6,"Vitvi17g00936","blue"
6,"Vitvi17g01373","blue"
6,"Vitvi18g00174","green"
6,"Vitvi18g00191","pink"
6,"Vitvi18g00462","green"
6,"Vitvi18g00473","turquoise"
6,"Vitvi18g02222","green"
6,"Vitvi18g02825","turquoise"
6,"Vitvi18g02837","blue"
6,"Vitvi18g04551","purple"
6,"Vitvi18g04640","yellow"
6,"Vitvi19g00270","blue"
6,"Vitvi19g00476","green"
6,"Vitvi19g00709","green"
6,"Vitvi19g01484","blue"
6,"Vitvi19g01610","green"
6,"Vitvi19g01612","green"
6,"Vitvi19g01720","pink"
6,"Vitvi19g01790","green"
6,"Vitvi19g04572","green"
8,"Vitvi00g04005","salmon"
8,"Vitvi00g04006","salmon"
8,"Vitvi00g04313","darkturquoise"
8,"Vitvi00g04500","orange"
8,"Vitvi00g04634","orange"
8,"Vitvi00g04728","orange"
8,"Vitvi01g00463","black"
8,"Vitvi01g00508","blue"
8,"Vitvi01g00612","turquoise"
8,"Vitvi01g00656","turquoise"
8,"Vitvi01g01038","blue"
8,"Vitvi01g01701","black"
8,"Vitvi01g01751","green"
8,"Vitvi01g02242","green"
8,"Vitvi01g04056","pink"
8,"Vitvi01g04115","black"
8,"Vitvi01g04132","darkturquoise"
8,"Vitvi02g00032","turquoise"
8,"Vitvi02g00086","turquoise"
8,"Vitvi02g00429","blue"
8,"Vitvi02g00446","blue"
8,"Vitvi02g01355","turquoise"
8,"Vitvi02g01360","turquoise"
8,"Vitvi02g04106","blue"
8,"Vitvi02g04134","green"
8,"Vitvi02g04135","green"
8,"Vitvi03g00318","black"
8,"Vitvi03g00692","turquoise"
8,"Vitvi03g01258","darkturquoise"
8,"Vitvi03g01809","purple"
8,"Vitvi03g04266","black"
