"gene","genotype","pattern","category","group"
"Vitvi14g04416","Rpv12","EED","LR","Group_VI"
"Vitvi14g04418","Rpv12","UED","CP","Group_III"
"Vitvi14g04420","Rpv12","UED","CP","Group_VI"
"Vitvi14g04425","Rpv12","DED","CP","Group_V"
"Vitvi14g04426","Rpv12","EEE","EEE","Group_V"
"Vitvi14g04428","Rpv12","EEU","LR","Group_V"
"Vitvi14g04439","Rpv12","EEE","EEE","Group_VI"
"Vitvi14g04448","Rpv12","UEU","CP","Group_VI"
"Vitvi14g04449","Rpv12","UUU","SCh","Group_I"
"Vitvi14g04450","Rpv12","UUU","SCh","Group_I"
"Vitvi14g04456","Rpv12","DDE","IEV","Group_VI"
"Vitvi14g04457","Rpv12","EEE","EEE","Group_V"
"Vitvi14g04460","Rpv12","EEE","EEE","Group_V"
"Vitvi14g04462","Rpv12","DEE","IEV","Group_V"
"Vitvi14g04470","Rpv12","EEE","EEE","Group_V"
"Vitvi14g04475","Rpv12","UUU","SCh","Group_I"
"Vitvi14g04477","Rpv12","EEU","LR","Group_VI"
"Vitvi14g04479","Rpv12","EEE","EEE","Group_V"
"Vitvi14g04481","Rpv12","EED","LR","Group_IV"
"Vitvi14g04485","Rpv12","DUD","CP","Group_III"
"Vitvi14g04494","Rpv12","EDE","TRS","Group_IV"
"Vitvi14g04495","Rpv12","EDE","TRS","Group_I"
"Vitvi14g04501","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g04503","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g04505","Rpv12","UEU","CP","Group_V"
"Vitvi14g04510","Rpv12","EEE","EEE","Group_V"
"Vitvi14g04511","Rpv12","EEE","EEE","Group_III"
"Vitvi14g04515","Rpv12","EED","LR","Group_V"
"Vitvi14g04517","Rpv12","DED","CP","Group_VI"
"Vitvi14g04518","Rpv12","UEE","IEV","Group_II"
"Vitvi14g04524","Rpv12","EDE","TRS","Group_VI"
"Vitvi14g04526","Rpv12","UDE","CP","Group_V"
"Vitvi14g04536","Rpv12","EEE","EEE","Group_V"
"Vitvi14g04539","Rpv12","EEE","EEE","Group_V"
"Vitvi14g04551","Rpv12","EEE","EEE","Group_V"
"Vitvi14g04566","Rpv12","DEE","IEV","Group_V"
"Vitvi14g04573","Rpv12","EED","LR","Group_V"
"Vitvi14g04574","Rpv12","UEU","CP","Group_VI"
"Vitvi14g04584","Rpv12","EEE","EEE","Group_V"
"Vitvi14g04585","Rpv12","EED","LR","Group_II"
"Vitvi14g04588","Rpv12","UUU","SCh","Group_II"
"Vitvi14g04589","Rpv12","EEE","EEE","Group_V"
"Vitvi14g04590","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g04592","Rpv12","UEE","IEV","Group_V"
"Vitvi14g04604","Rpv12","EEE","EEE","Group_V"
"Vitvi14g04610","Rpv12","DEE","IEV","Group_II"
"Vitvi14g04611","Rpv12","EEE","EEE","Group_V"
"Vitvi14g04612","Rpv12","EEE","EEE","Group_V"
"Vitvi14g04619","Rpv12","UEE","IEV","Group_V"
"Vitvi14g04622","Rpv12","UEE","IEV","Group_V"
"Vitvi14g04629","Rpv12","UEE","IEV","Group_V"
"Vitvi14g04632","Rpv12","EEE","EEE","Group_V"
"Vitvi14g04635","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g04636","Rpv12","EED","LR","Group_V"
"Vitvi14g04640","Rpv12","UEE","IEV","Group_V"
"Vitvi14g04643","Rpv12","EEE","EEE","Group_V"
"Vitvi14g04644","Rpv12","UED","CP","Group_V"
"Vitvi14g04653","Rpv12","UUE","IEV","Group_VI"
"Vitvi14g04661","Rpv12","DEU","CP","Group_VI"
"Vitvi14g04662","Rpv12","EED","LR","Group_VI"
"Vitvi14g04667","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g04673","Rpv12","EEU","LR","Group_VI"
"Vitvi14g04677","Rpv12","UED","CP","Group_V"
"Vitvi14g04681","Rpv12","EEE","EEE","Group_V"
"Vitvi14g04689","Rpv12","EEE","EEE","Group_V"
"Vitvi14g04690","Rpv12","EEE","EEE","Group_V"
"Vitvi14g04699","Rpv12","UEE","IEV","Group_V"
"Vitvi15g00017","Rpv12","EED","LR","Group_V"
"Vitvi15g00018","Rpv12","EED","LR","Group_V"
"Vitvi15g00037","Rpv12","UED","CP","Group_III"
"Vitvi15g00062","Rpv12","UEE","IEV","Group_VI"
"Vitvi15g00068","Rpv12","EUE","TRS","Group_IV"
"Vitvi15g00071","Rpv12","DED","CP","Group_V"
"Vitvi15g00076","Rpv12","EEU","LR","Group_V"
"Vitvi15g00084","Rpv12","UEE","IEV","Group_II"
"Vitvi15g00110","Rpv12","EED","LR","Group_VI"
"Vitvi15g00122","Rpv12","UED","CP","Group_V"
"Vitvi15g00146","Rpv12","EEE","EEE","Group_V"
"Vitvi15g00172","Rpv12","EEE","EEE","Group_V"
"Vitvi15g00244","Rpv12","EEE","EEE","Group_V"
"Vitvi15g00250","Rpv12","EUE","TRS","Group_IV"
"Vitvi15g00263","Rpv12","EEU","LR","Group_VI"
"Vitvi15g00285","Rpv12","EEU","LR","Group_V"
"Vitvi15g00287","Rpv12","DED","CP","Group_V"
"Vitvi15g00298","Rpv12","EEE","EEE","Group_III"
"Vitvi15g00301","Rpv12","UEE","IEV","Group_II"
"Vitvi15g00331","Rpv12","DEE","IEV","Group_VI"
"Vitvi15g00335","Rpv12","EEE","EEE","Group_VI"
"Vitvi15g00380","Rpv12","DED","CP","Group_V"
"Vitvi15g00396","Rpv12","EEE","EEE","Group_V"
"Vitvi15g00419","Rpv12","EEE","EEE","Group_V"
"Vitvi15g00424","Rpv12","UEE","IEV","Group_II"
"Vitvi15g00431","Rpv12","EEE","EEE","Group_V"
