	Cult1_0h	Cult1_6h	Cult1_24h	Cult2_0h	Cult2_6h	Cult2_24h	Cult3_0h	Cult3_6h	Cult3_24h
Vitvi02g00032	1	0	0	0	0	0	-1	-1	0
Vitvi02g00051	0	-1	0	0	0	0	0	0	0
Vitvi02g00056	1	0	0	0	0	0	1	1	0
Vitvi02g00069	0	0	0	0	-1	0	0	0	0
Vitvi02g00070	0	0	0	0	-1	0	0	-1	0
Vitvi02g00086	0	0	-1	0	-1	0	-1	-1	-1
Vitvi02g00091	0	-1	0	0	0	0	0	-1	0
Vitvi02g00093	0	0	0	0	0	0	-1	-1	0
Vitvi02g00108	0	0	0	0	-1	0	0	-1	0
Vitvi02g00114	0	0	0	0	0	0	0	-1	0
Vitvi02g00116	0	-1	0	0	0	0	0	-1	0
Vitvi02g00118	0	0	0	0	0	0	0	-1	0
Vitvi02g00125	0	-1	0	0	0	0	0	0	0
Vitvi02g00136	0	0	0	0	0	0	0	0	-1
Vitvi02g00147	0	0	0	0	-1	0	0	-1	0
Vitvi02g00162	0	-1	0	0	-1	0	0	-1	0
Vitvi02g00192	0	0	0	0	0	0	0	0	-1
Vitvi02g00225	0	0	0	0	1	0	0	0	0
Vitvi02g00226	0	0	0	0	1	0	0	0	0
Vitvi02g00239	0	0	0	0	-1	0	0	-1	0
Vitvi02g00242	0	-1	0	0	0	0	0	-1	0
Vitvi02g00258	0	0	0	0	1	0	0	0	0
Vitvi02g00260	0	0	0	0	1	0	0	0	0
Vitvi02g00263	0	0	0	0	1	0	0	1	0
Vitvi02g00270	0	0	0	0	1	0	0	0	0
Vitvi02g00273	0	0	0	1	0	0	0	0	0
Vitvi02g00289	0	0	0	0	-1	0	0	0	0
Vitvi02g00295	0	0	0	0	1	0	0	0	0
Vitvi02g00303	0	0	0	0	0	0	0	-1	0
Vitvi02g00327	0	0	0	0	0	0	0	-1	0
Vitvi02g00340	0	-1	0	0	-1	0	0	0	0
Vitvi02g00346	0	0	0	0	-1	0	0	-1	0
Vitvi02g00348	0	0	0	0	-1	0	0	0	0
Vitvi02g00370	0	-1	0	0	-1	0	0	0	0
Vitvi02g00378	0	0	1	0	0	0	0	0	1
Vitvi02g00380	0	0	0	0	0	0	0	1	0
Vitvi02g00393	0	0	0	0	-1	0	0	0	0
Vitvi02g00409	0	0	0	0	0	0	0	-1	0
Vitvi02g00416	0	0	0	0	0	0	0	-1	0
Vitvi02g00424	0	0	0	0	1	0	0	0	0
Vitvi02g00429	0	0	-1	0	1	0	1	1	1
Vitvi02g00435	0	-1	0	0	-1	0	0	0	0
Vitvi02g00436	0	0	0	0	0	0	1	1	0
Vitvi02g00446	0	1	0	0	1	0	1	1	0
Vitvi02g00449	0	-1	0	0	-1	0	0	-1	0
Vitvi02g00450	0	0	0	0	0	0	0	-1	0
Vitvi02g00476	0	-1	0	0	0	0	0	-1	0
Vitvi02g00508	0	0	0	0	0	0	0	-1	0
Vitvi02g00510	0	0	0	0	0	0	0	-1	0
Vitvi02g00511	0	-1	0	0	0	0	0	0	0
Vitvi02g00512	0	-1	0	0	0	0	0	-1	0
Vitvi02g00532	0	0	0	0	0	0	0	0	1
Vitvi02g00547	0	0	0	0	0	0	0	-1	0
Vitvi02g00560	0	0	0	0	0	0	0	-1	0
Vitvi02g00565	0	0	0	0	0	0	0	-1	0
Vitvi02g00567	0	0	0	0	0	0	-1	0	0
Vitvi02g00575	0	0	1	0	1	0	0	0	0
Vitvi02g00605	0	0	0	0	1	0	0	1	0
Vitvi02g00629	0	0	0	0	0	0	0	-1	0
Vitvi02g00666	0	0	1	0	0	0	-1	-1	0
Vitvi02g00673	-1	-1	0	0	0	0	0	0	0
Vitvi02g00682	0	-1	0	0	0	0	0	-1	0
Vitvi02g00695	0	-1	0	0	0	0	0	0	0
Vitvi02g00701	0	-1	0	0	-1	0	0	-1	0
Vitvi02g00702	0	0	0	0	0	0	0	1	0
Vitvi02g00705	0	-1	0	0	0	0	0	0	0
Vitvi02g00719	0	0	0	1	0	0	0	0	0
Vitvi02g00721	0	0	0	0	0	0	0	1	0
Vitvi02g00726	0	0	0	0	0	0	0	-1	0
Vitvi02g00790	0	0	0	0	0	0	0	1	0
Vitvi02g00805	0	0	1	0	0	0	0	0	0
Vitvi02g00999	0	0	0	0	0	0	-1	0	0
Vitvi02g01001	0	0	0	0	1	0	0	0	0
Vitvi02g01003	0	0	1	0	0	0	0	0	1
Vitvi02g01004	0	0	1	0	0	0	0	0	0
Vitvi02g01113	0	0	0	0	0	0	0	-1	0
Vitvi02g01179	0	0	1	0	0	0	0	0	1
Vitvi02g01215	0	0	0	0	0	0	0	-1	0
Vitvi02g01227	-1	0	0	0	0	0	0	0	0
Vitvi02g01270	0	0	0	0	1	0	0	0	0
Vitvi02g01279	0	0	0	0	0	0	0	-1	0
Vitvi02g01288	0	0	0	0	0	0	0	1	0
Vitvi02g01319	-1	0	0	0	0	0	0	0	0
Vitvi02g01323	1	0	0	0	0	0	0	0	0
Vitvi02g01324	1	0	0	1	0	0	0	0	0
Vitvi02g01339	0	0	0	0	0	0	0	-1	0
Vitvi02g01341	-1	0	0	0	0	0	0	0	0
Vitvi02g01344	0	0	1	0	1	0	0	-1	0
Vitvi02g01349	0	0	0	0	0	0	0	1	0
Vitvi02g01355	1	0	1	0	0	0	-1	-1	0
Vitvi02g01358	0	-1	0	0	0	0	0	0	0
Vitvi02g01360	0	0	0	0	0	0	-1	-1	-1
Vitvi02g01381	0	-1	0	0	0	0	0	0	0
Vitvi02g01403	0	0	0	0	-1	0	0	0	0
Vitvi02g01404	0	0	0	0	-1	0	0	0	0
Vitvi02g01405	1	0	0	0	0	0	0	0	0
Vitvi02g01406	0	0	0	0	0	0	0	1	0
Vitvi02g01407	0	0	-1	0	0	0	0	0	0
Vitvi02g01411	0	0	0	-1	0	0	0	0	0
Vitvi02g01440	0	0	0	0	0	0	0	1	0
Vitvi02g01479	0	0	0	0	0	0	0	-1	0
Vitvi02g01486	0	-1	0	0	0	0	0	-1	0
Vitvi02g01507	0	-1	0	0	-1	0	0	0	0
Vitvi02g01526	0	0	0	0	0	0	0	-1	0
Vitvi02g01559	0	0	0	0	-1	0	0	-1	0
Vitvi02g01621	0	1	1	0	0	0	0	0	1
Vitvi02g01817	0	0	0	0	0	0	-1	0	0
Vitvi02g04035	0	0	0	0	0	0	-1	-1	0
Vitvi02g04072	0	0	0	0	-1	0	0	0	0
Vitvi02g04096	0	0	0	-1	0	0	0	0	0
Vitvi02g04106	0	0	0	0	1	0	1	1	0
Vitvi02g04111	0	0	0	0	0	0	1	1	0
Vitvi02g04120	0	0	0	0	-1	0	0	0	0
Vitvi02g04123	0	0	0	0	0	0	0	-1	0
Vitvi02g04134	0	-1	-1	0	-1	0	0	-1	-1
Vitvi02g04135	0	-1	-1	0	-1	0	0	-1	-1
Vitvi02g04136	0	0	-1	0	0	0	0	0	0
Vitvi02g04144	0	0	0	0	0	0	0	1	0
Vitvi02g04155	0	0	0	0	0	0	0	-1	-1
Vitvi02g04187	0	0	0	0	0	0	0	-1	0
Vitvi02g04204	0	0	1	0	0	0	0	0	0
Vitvi02g04218	0	0	0	0	-1	0	0	0	0
Vitvi02g04226	0	0	0	0	1	0	0	0	-1
Vitvi02g04302	0	0	1	0	0	0	0	0	0
Vitvi02g04303	0	0	1	0	0	0	0	0	0
Vitvi02g04347	0	0	0	0	0	0	0	-1	0
Vitvi03g00009	0	0	0	0	-1	0	0	0	0
Vitvi03g00028	0	0	0	0	0	0	0	-1	0
Vitvi03g00052	0	0	0	0	0	0	-1	-1	0
Vitvi03g00054	0	0	0	0	0	0	0	-1	0
Vitvi03g00057	0	0	0	0	0	0	0	-1	0
Vitvi03g00077	0	0	0	0	1	0	0	0	0
Vitvi03g00088	0	0	0	0	0	0	0	-1	0
Vitvi03g00119	0	0	1	1	0	0	1	0	0
Vitvi03g00120	0	0	0	0	0	0	0	-1	0
Vitvi03g00122	0	0	0	0	-1	0	0	0	0
Vitvi03g00124	0	-1	0	0	0	0	0	0	0
Vitvi03g00125	0	-1	0	0	-1	0	0	-1	0
Vitvi03g00134	0	0	0	0	0	0	0	-1	0
Vitvi03g00175	0	0	0	0	-1	0	0	0	0
Vitvi03g00183	0	-1	0	0	0	0	0	-1	0
Vitvi03g00208	0	-1	0	0	-1	0	0	0	0
Vitvi03g00221	0	0	0	0	0	0	0	-1	0
Vitvi03g00223	0	0	0	0	0	0	0	-1	0
Vitvi03g00227	0	0	0	0	0	0	0	-1	0
