"GeneID","Immunity_Class"
"Vitvi01g00625","Other"
"Vitvi01g00626","Other"
"Vitvi01g00627","Other"
"Vitvi01g04150","Other"
"Vitvi01g00628","Other"
"Vitvi01g00629","Other"
"Vitvi01g04151","Other"
"Vitvi01g00630","Other"
"Vitvi01g00631","Other"
"Vitvi01g02028","Other"
"Vitvi01g00632","Other"
"Vitvi01g04152","Other"
"Vitvi01g00633","Other"
"Vitvi01g00634","Other"
"Vitvi01g00635","Other"
"Vitvi01g00636","Other"
"Vitvi01g00637","Other"
"Vitvi01g00638","Other"
"Vitvi01g00639","Other"
"Vitvi01g00640","Other"
"Vitvi01g00641","Other"
"Vitvi01g02030","Other"
"Vitvi01g04153","Other"
"Vitvi01g02031","Other"
"Vitvi01g02032","Other"
"Vitvi01g04154","Other"
"Vitvi01g00642","Other"
"Vitvi01g00644","Other"
"Vitvi01g04155","Other"
"Vitvi01g00646","Other"
"Vitvi01g00647","Other"
"Vitvi01g00648","Other"
"Vitvi01g00649","Other"
"Vitvi01g00650","Other"
"Vitvi01g00652","Other"
"Vitvi01g04157","Other"
"Vitvi01g00653","Other"
"Vitvi01g00655","Other"
"Vitvi01g00656","Other"
"Vitvi01g00657","Other"
"Vitvi01g00658","Other"
"Vitvi01g00659","Other"
"Vitvi01g00660","Other"
"Vitvi01g02039","Other"
"Vitvi01g00662","Other"
"Vitvi01g00663","Other"
"Vitvi01g00664","Other"
"Vitvi01g00665","Other"
"Vitvi01g00666","Other"
"Vitvi01g00668","Other"
"Vitvi01g04158","Other"
"Vitvi01g02041","Other"
"Vitvi01g00669","Other"
"Vitvi01g04159","Other"
"Vitvi01g04160","ETI_specific"
"Vitvi01g00672","Other"
"Vitvi01g00674","Other"
"Vitvi01g04161","Other"
"Vitvi01g00675","Other"
"Vitvi01g00676","Other"
"Vitvi01g04162","Other"
"Vitvi01g00680","Other"
"Vitvi01g00681","Other"
"Vitvi01g02044","Other"
"Vitvi01g00682","Other"
"Vitvi01g04163","Other"
"Vitvi01g00685","Other"
"Vitvi01g00687","Other"
"Vitvi01g00688","Other"
"Vitvi01g04164","Other"
"Vitvi01g00693","Other"
"Vitvi01g00694","Other"
"Vitvi01g00695","Other"
"Vitvi01g04165","Other"
"Vitvi01g00696","Other"
"Vitvi01g04166","Other"
"Vitvi01g00697","Other"
"Vitvi01g00698","Other"
"Vitvi01g00700","Other"
"Vitvi01g00701","Other"
"Vitvi01g04167","Other"
"Vitvi01g02047","Other"
"Vitvi01g04170","Other"
"Vitvi01g02049","Other"
"Vitvi01g04171","Other"
"Vitvi01g00703","Other"
"Vitvi01g02051","Other"
"Vitvi01g00704","Other"
"Vitvi01g04172","Other"
"Vitvi01g00705","Other"
"Vitvi01g02052","Other"
"Vitvi01g04173","Other"
"Vitvi01g00706","Other"
"Vitvi01g04174","Other"
"Vitvi01g04175","Other"
"Vitvi01g00710","Other"
"Vitvi01g02053","Other"
"Vitvi01g04176","Other"
"Vitvi01g00711","Other"
"Vitvi01g00712","Other"
"Vitvi01g04177","Other"
"Vitvi01g02056","Other"
"Vitvi01g00714","Other"
"Vitvi01g00715","Other"
"Vitvi01g00716","Other"
"Vitvi01g00717","Other"
"Vitvi01g00719","Other"
"Vitvi01g04178","Other"
"Vitvi01g04179","Other"
"Vitvi01g02058","Other"
"Vitvi01g04180","Other"
"Vitvi01g02060","Other"
"Vitvi01g02061","Other"
"Vitvi01g00722","Other"
"Vitvi01g00723","Other"
"Vitvi01g02062","Other"
"Vitvi01g04182","Other"
"Vitvi01g02065","Other"
"Vitvi01g04183","Other"
"Vitvi01g00729","Other"
"Vitvi01g00730","Other"
"Vitvi01g00732","Other"
"Vitvi01g00733","Other"
"Vitvi01g04185","Other"
"Vitvi01g00735","Other"
"Vitvi01g00738","Other"
"Vitvi01g00739","Other"
"Vitvi01g04186","Other"
"Vitvi01g00741","Other"
"Vitvi01g00742","Other"
"Vitvi01g02067","Other"
"Vitvi01g00744","Other"
"Vitvi01g00745","Other"
"Vitvi01g00746","Other"
"Vitvi01g00747","Other"
"Vitvi01g04189","Other"
"Vitvi01g00752","Other"
"Vitvi01g04190","Other"
"Vitvi01g04191","Other"
"Vitvi01g02070","Other"
"Vitvi01g04192","Other"
"Vitvi01g02072","Other"
"Vitvi01g02073","Other"
"Vitvi01g02074","Other"
"Vitvi01g04194","Other"
"Vitvi01g04198","Other"
"Vitvi01g00770","Other"
"Vitvi01g00772","Other"
"Vitvi01g00773","Other"
"Vitvi01g00775","Other"
"Vitvi01g00776","Other"
"Vitvi01g00777","Other"
"Vitvi01g00779","Other"
"Vitvi01g00780","Other"
"Vitvi01g00781","Other"
"Vitvi01g00782","Other"
"Vitvi01g00784","Other"
"Vitvi01g00785","Other"
"Vitvi01g00787","Other"
"Vitvi01g00788","Other"
"Vitvi01g00789","Other"
"Vitvi01g04200","Other"
"Vitvi01g04201","Other"
"Vitvi01g04202","Other"
"Vitvi01g00790","Other"
"Vitvi01g02080","Other"
"Vitvi01g00791","Other"
"Vitvi01g00792","Other"
"Vitvi01g04203","Other"
"Vitvi01g00793","Other"
"Vitvi01g04204","Other"
"Vitvi01g04205","Other"
"Vitvi01g00797","Other"
"Vitvi01g00798","Other"
"Vitvi01g00799","Other"
"Vitvi01g00800","Other"
"Vitvi01g00801","Other"
"Vitvi01g00803","Other"
"Vitvi01g02082","Other"
"Vitvi01g04206","Other"
"Vitvi01g04207","Other"
"Vitvi01g00810","Other"
"Vitvi01g00812","Other"
"Vitvi01g00813","Other"
"Vitvi01g00814","Other"
"Vitvi01g00815","Other"
"Vitvi01g00816","Other"
"Vitvi01g00817","Other"
"Vitvi01g00818","Other"
"Vitvi01g00819","Other"
"Vitvi01g00821","Other"
"Vitvi01g00822","Other"
"Vitvi01g00823","Other"
"Vitvi01g00824","Other"
"Vitvi01g04212","Other"
"Vitvi01g00825","Other"
"Vitvi01g00826","Other"
"Vitvi01g04213","Other"
"Vitvi01g00830","Other"
"Vitvi01g00831","Other"
"Vitvi01g00832","Other"
"Vitvi01g00833","Other"
"Vitvi01g04214","Other"
"Vitvi01g02091","Other"
"Vitvi01g00836","Other"
"Vitvi01g00842","Other"
"Vitvi01g02092","Other"
"Vitvi01g00844","Other"
"Vitvi01g02093","Other"
"Vitvi01g00845","Other"
"Vitvi01g00846","Other"
"Vitvi01g00849","Other"
