"method","combat","module","size","bin_size_used","n_mapped_genes","physical_ppi_n_covered","physical_ppi_mean_score","physical_ppi_null_mean_of_means","physical_ppi_p_enrichment","detailed_coexpr_n_covered","detailed_coexpr_mean_score","detailed_coexpr_null_mean_of_means","detailed_coexpr_p_enrichment","detailed_combined_n_covered","detailed_combined_mean_score","detailed_combined_null_mean_of_means","detailed_combined_p_enrichment"
"hub_anchored","unprotected","Vitvi12g04543",51,54,16,0,NA,338.656672932331,NA,8,188.75,83.1117834073636,0.0248756218905473,8,276.75,289.087957385556,0.577114427860697
"hub_anchored","unprotected","Vitvi12g04545",55,54,18,0,NA,338.656672932331,NA,2,0,83.1117834073636,1,2,281,289.087957385556,0.502487562189055
"hub_anchored","unprotected","Vitvi12g04595",37,32,17,0,NA,359.213003663004,NA,6,53,81.6212033011656,0.61,6,258.333333333333,284.404831147356,0.555
"hub_anchored","unprotected","Vitvi12g04598",82,92,37,4,225.5,330.185634296459,0.868686868686869,18,48.6666666666667,86.0477364795512,0.885572139303483,18,239.555555555556,286.903427936747,0.935323383084577
"hub_anchored","unprotected","Vitvi12g04607",92,92,38,0,NA,330.185634296459,NA,8,78,86.0477364795512,0.562189054726368,8,183.5,286.903427936747,1
"hub_anchored","unprotected","Vitvi12g04630",132,120,56,0,NA,347.876205335917,NA,14,42.1428571428571,83.9709386086409,0.990049751243781,14,251.428571428571,286.379146520562,0.930348258706468
"hub_anchored","unprotected","Vitvi13g00004",504,448,394,62,238.709677419355,351.372500318086,1,1232,35.2483766233766,84.0404451810603,1,1232,228.665584415584,289.468937543945,1
"hub_anchored","unprotected","Vitvi13g00551",90,92,46,0,NA,330.185634296459,NA,16,0,86.0477364795512,1,16,199.375,286.903427936747,1
"hub_anchored","unprotected","Vitvi13g01098",485,448,389,198,396.171717171717,351.372500318086,0.0497512437810945,2380,82.8991596638655,84.0404451810603,0.537313432835821,2380,297.211764705882,289.468937543945,0.243781094527363
"hub_anchored","unprotected","Vitvi13g01468",104,92,48,0,NA,330.185634296459,NA,22,159.909090909091,86.0477364795512,0.0248756218905473,22,221,286.903427936747,0.985074626865672
"hub_anchored","unprotected","Vitvi13g01608",30,32,15,2,151,359.213003663004,1,4,0,81.6212033011656,1,4,357.5,284.404831147356,0.19
"hub_anchored","unprotected","Vitvi13g01616",50,54,19,0,NA,338.656672932331,NA,6,53,83.1117834073636,0.741293532338308,6,258.333333333333,289.087957385556,0.751243781094527
"hub_anchored","unprotected","Vitvi13g01638",64,71,29,6,310.333333333333,357.577000616919,0.597826086956522,18,29.2222222222222,82.4974689396933,0.980099502487562,18,323.333333333333,286.508573033137,0.169154228855721
"hub_anchored","unprotected","Vitvi13g01984",56,54,26,2,151,338.656672932331,0.993464052287582,14,113.857142857143,83.1117834073636,0.208955223880597,14,175.714285714286,289.087957385556,1
"hub_anchored","unprotected","Vitvi13g04528",117,120,48,0,NA,347.876205335917,NA,20,129.9,83.9709386086409,0.0447761194029851,20,207.6,286.379146520562,1
"hub_anchored","unprotected","Vitvi13g04529",118,120,47,0,NA,347.876205335917,NA,20,152.1,83.9709386086409,0.0149253731343284,20,214.8,286.379146520562,1
"hub_anchored","unprotected","Vitvi13g04677",56,54,23,4,263,338.656672932331,0.640522875816993,14,28.8571428571429,83.1117834073636,0.930348258706468,14,283.857142857143,289.087957385556,0.477611940298507
"hub_anchored","unprotected","Vitvi13g04698",70,71,36,0,NA,357.577000616919,NA,16,88.5,82.4974689396933,0.353233830845771,16,216.625,286.508573033137,0.980099502487562
"hub_anchored","unprotected","Vitvi13g04706",92,92,37,2,405,330.185634296459,0.202020202020202,14,31.4285714285714,86.0477364795512,0.980099502487562,14,289.285714285714,286.903427936747,0.477611940298507
"hub_anchored","unprotected","Vitvi14g00438",239,265,186,32,395.625,345.666798066866,0.0796019900497512,398,77.5025125628141,83.0089354248649,0.616915422885572,398,284.331658291457,288.789493550338,0.601990049751244
"hub_anchored","unprotected","Vitvi14g01926",6,5,6,0,NA,300.5,NA,0,NA,72.6875,NA,0,NA,270.041666666667,NA
"hub_anchored","unprotected","Vitvi14g04416",31,32,9,0,NA,359.213003663004,NA,0,NA,81.6212033011656,NA,0,NA,284.404831147356,NA
"hub_anchored","unprotected","Vitvi15g01247",87,92,37,0,NA,330.185634296459,NA,26,143.923076923077,86.0477364795512,0.0497512437810945,26,275.076923076923,286.903427936747,0.631840796019901
"hub_anchored","unprotected","Vitvi16g00901",4,4,2,0,NA,419,NA,0,NA,101.807692307692,NA,0,NA,269.961538461538,NA
"hub_anchored","unprotected","Vitvi16g04295",516,583,394,76,356.184210526316,351.408902971471,0.422885572139304,1632,54.3026960784314,85.9986014018406,1,1632,261.602941176471,291.103023847867,1
"hub_anchored","unprotected","Vitvi16g04448",29,32,10,0,NA,359.213003663004,NA,0,NA,81.6212033011656,NA,0,NA,284.404831147356,NA
"hub_anchored","unprotected","Vitvi17g00339",7,7,5,0,NA,403,NA,0,NA,74.3455284552846,NA,0,NA,314.008130081301,NA
"hub_anchored","unprotected","Vitvi17g00461",47,42,16,0,NA,347.684413580247,NA,2,0,78.4171053940454,1,2,214,281.000825939103,0.905
"hub_anchored","unprotected","Vitvi17g00704",626,583,489,108,320.37037037037,351.408902971471,0.935323383084577,2080,58.8432692307692,85.9986014018406,1,2080,265.485576923077,291.103023847867,1
"hub_anchored","unprotected","Vitvi17g00936",758,759,625,1482,422.381916329285,350.836072964527,0.00497512437810945,10952,167.894996347699,85.1665906088633,0.00497512437810945,10952,347.338020452885,289.798024284509,0.00497512437810945
"hub_anchored","unprotected","Vitvi17g01373",99,92,82,14,581.428571428571,330.185634296459,0.0151515151515152,98,50.9795918367347,86.0477364795512,0.875621890547264,98,311.897959183673,286.903427936747,0.199004975124378
"hub_anchored","unprotected","Vitvi18g00174",73,71,29,0,NA,357.577000616919,NA,2,0,82.4974689396933,1,2,151,286.508573033137,1
"hub_anchored","unprotected","Vitvi18g00191",42,42,21,0,NA,347.684413580247,NA,10,22.4,78.4171053940454,0.91,10,268,281.000825939103,0.545
"hub_anchored","unprotected","Vitvi18g00462",70,71,38,0,NA,357.577000616919,NA,4,0,82.4974689396933,1,4,249,286.508573033137,0.835820895522388
"hub_anchored","unprotected","Vitvi18g00473",84,92,66,0,NA,330.185634296459,NA,58,98,86.0477364795512,0.323383084577114,58,243.862068965517,286.903427936747,0.925373134328358
"hub_anchored","unprotected","Vitvi18g02222",49,54,22,2,151,338.656672932331,0.993464052287582,8,39.75,83.1117834073636,0.870646766169154,8,260.75,289.087957385556,0.716417910447761
"hub_anchored","unprotected","Vitvi18g02825",10,9,3,0,NA,386.285714285714,NA,0,NA,87.6890547263682,NA,0,NA,316.312189054726,NA
"hub_anchored","unprotected","Vitvi18g02837",536,583,442,386,381.430051813471,351.408902971471,0.0597014925373134,3778,130.393859184754,85.9986014018406,0.00497512437810945,3778,314.636315510852,291.103023847867,0.0248756218905473
"hub_anchored","unprotected","Vitvi18g04551",82,92,33,2,270,330.185634296459,0.707070707070707,36,171.944444444444,86.0477364795512,0.0149253731343284,36,274,286.903427936747,0.63681592039801
"hub_anchored","unprotected","Vitvi18g04640",114,120,43,0,NA,347.876205335917,NA,12,49.1666666666667,83.9709386086409,0.960199004975124,12,254.5,286.379146520562,0.900497512437811
"hub_anchored","unprotected","Vitvi19g00270",793,759,651,1104,435.949275362319,350.836072964527,0.00497512437810945,9618,147.523185693491,85.1665906088633,0.00497512437810945,9618,333.285922229154,289.798024284509,0.00497512437810945
"hub_anchored","unprotected","Vitvi19g00476",70,71,29,4,207,357.577000616919,0.896739130434783,20,25.7,82.4974689396933,0.990049751243781,20,259.3,286.508573033137,0.721393034825871
"hub_anchored","unprotected","Vitvi19g00709",67,71,32,0,NA,357.577000616919,NA,22,230.636363636364,82.4974689396933,0.00995024875621891,22,254.363636363636,286.508573033137,0.776119402985075
