"gene","module_size","spearman_rho","pvalue","padj_bonferroni","padj_BH","selected_bonferroni"
"Vitvi08g04296",988,-0.57399680266734,0.000251925466762095,1,0.000503626933405551,FALSE
"Vitvi08g04314",1540,-0.667461988060373,8.72733258323926e-06,0.0588658582739488,2.66965343646026e-05,FALSE
"Vitvi08g04317",6,-0.617046562867391,6.11763032283906e-05,0.412634165275494,0.000146480001872735,FALSE
"Vitvi08g04326",12,-0.646079162398038,2.08097982615076e-05,0.140362089273869,5.83018023383926e-05,FALSE
"Vitvi08g04336",4,-0.478898349698169,0.00312849885508842,1,0.00453410502311375,FALSE
"Vitvi08g04345",7,0.385951398872728,0.0200786217961856,1,0.0236931952440993,FALSE
"Vitvi08g04349",893,-0.687858076312791,3.56150588483321e-06,0.0240223571932,1.19158517823413e-05,TRUE
"Vitvi08g04351",5,0.243909070129904,0.151697389261303,1,0.158807836499688,FALSE
"Vitvi08g04357",6,0.609871602834049,7.8569440725387e-05,0.529950877692735,0.000183120552070745,FALSE
"Vitvi08g04358",6,0.588346722734024,0.000160693769450826,1,0.00033966765118954,FALSE
"Vitvi08g04367",778,-0.731763852262692,3.96103875756545e-07,0.0026717206419779,1.72993206485866e-06,TRUE
"Vitvi08g04368",242,-0.731763852262692,3.96103875756545e-07,0.0026717206419779,1.72993206485866e-06,TRUE
"Vitvi08g04370",34,-0.731727210389712,3.96899963641177e-07,0.00267709025475974,1.72993206485866e-06,TRUE
"Vitvi08g04371",21,-0.750289519408583,1.37448227308175e-07,0.000927088293193644,7.28270458125407e-07,TRUE
"Vitvi08g04377",11,0.54187576401731,0.00064153220242989,1,0.00115698788914161,FALSE
"Vitvi08g04380",12,0.386438933513498,0.0199087318200507,1,0.0235215267343216,FALSE
"Vitvi08g04386",7,-0.353127065939054,0.0346365270501543,1,0.0389957227429963,FALSE
"Vitvi08g04390",611,0.567011253417215,0.000311248295159064,1,0.000611440151556281,FALSE
"Vitvi08g04416",432,-0.796388243405335,6.30408231990048e-09,4.25210352477287e-05,6.67520176573449e-08,TRUE
"Vitvi08g04418",18,-0.304753495262471,0.0707229426338605,1,0.0763119897720987,FALSE
"Vitvi08g04432",1444,-0.713238185116801,1.05085825073373e-06,0.00708803890119901,4.03697998757342e-06,TRUE
"Vitvi09g00006",1414,-0.295078781127154,0.0806150363631191,1,0.0865152617771262,FALSE
"Vitvi09g00008",1719,-0.478898349698169,0.00312849885508842,1,0.00453410502311375,FALSE
"Vitvi09g00012",145,-0.638571442967416,2.77964224488528e-05,0.187486869417512,7.41934584161107e-05,FALSE
"Vitvi09g00017",205,-0.438837432972955,0.00741881767212038,1,0.00964718048938731,FALSE
"Vitvi09g00018",1881,-0.855842157837802,2.89571830111193e-11,1.9531619941e-07,1.36024853495363e-09,TRUE
"Vitvi09g00022",3,-0.534156736039856,0.000792191476453241,1,0.00139512572028123,FALSE
"Vitvi09g00030",1861,-0.731763852262692,3.96103875756545e-07,0.0026717206419779,1.72993206485866e-06,TRUE
"Vitvi09g00033",374,-0.631396482934074,3.63959573998368e-05,0.245490732661899,9.35559194595666e-05,FALSE
"Vitvi09g00038",7,0.42573780810809,0.00963192720412472,1,0.01223260195666,FALSE
"Vitvi09g00039",85,-0.595521682767366,0.000127313692999972,0.858730859284811,0.000275587567164576,FALSE
"Vitvi09g00040",45,0.59505587476429,0.000129274566135119,0.87195694858138,0.000279742363997876,FALSE
"Vitvi09g00043",362,0.478898349698169,0.00312849885508842,1,0.00453410502311375,FALSE
"Vitvi09g00045",850,-0.401500636615636,0.0152203400780548,1,0.0183421822094837,FALSE
"Vitvi09g00056",136,-0.275729352856521,0.103584434864025,1,0.109837606218809,FALSE
"Vitvi09g00064",4,-0.447786854630341,0.00617086098784879,1,0.00817890692926707,FALSE
"Vitvi09g00068",2096,-0.678679836599203,5.37727468533649e-06,0.0362697177525946,1.72466560877768e-05,TRUE
"Vitvi09g00081",998,-0.656244139521543,1.38851025998339e-05,0.0936550170358794,4.09152542751767e-05,FALSE
"Vitvi09g00083",370,-0.722882521040456,6.3847290274214e-07,0.00430649972899573,2.6342965699724e-06,TRUE
"Vitvi09g00107",12,-0.509422162367264,0.00150722386046954,1,0.00249907201053762,FALSE
"Vitvi09g00112",224,-0.537084619459437,0.000731709404133355,1,0.00129605565411751,FALSE
"Vitvi09g00129",1309,-0.372476494209687,0.0252748166470032,1,0.0291366669430929,FALSE
"Vitvi09g00143",88,-0.394622801833796,0.0172310183587185,1,0.0206876502010602,FALSE
"Vitvi09g00144",17,-0.472679345249783,0.00360156331392797,1,0.00517523318117685,FALSE
"Vitvi09g00146",1391,-0.650635215252128,1.73903596896964e-05,0.117297976107002,5.01702207472208e-05,FALSE
"Vitvi09g00155",35,0.478898349698169,0.00312849885508842,1,0.00453410502311375,FALSE
"Vitvi09g00159",121,-0.462682051457961,0.00449235800422612,1,0.00626311590295683,FALSE
"Vitvi09g00166",52,-0.765761034128769,5.28218853687821e-08,0.000356283616812436,4.14283275363297e-07,TRUE
"Vitvi09g00170",7,-0.372476494209687,0.0252748166470032,1,0.0291366669430929,FALSE
