"gene","module_size","spearman_rho","pvalue","padj_bonferroni","padj_BH","selected_bonferroni"
"Vitvi00g04509",54,-0.416827510782546,0.0114392506999706,1,0.0139153817297706,FALSE
"Vitvi00g04522",18,0.409493878167507,0.013135040399585,1,0.0157710143773857,FALSE
"Vitvi00g04557",28,-0.411175350750953,0.0127285678576514,1,0.0152881876829012,FALSE
"Vitvi00g04563",60,0.523984994594573,0.00103817108302138,1,0.00172196410658615,FALSE
"Vitvi00g04564",163,-0.629787540867828,3.86279837915616e-05,0.271786493957427,8.99062169888942e-05,FALSE
"Vitvi00g04567",8,-0.622232181081055,5.08592315170758e-05,0.357845552954145,0.000114510576945327,FALSE
"Vitvi00g04570",16,-0.478898349698169,0.00312849885508842,1,0.00423472834636439,FALSE
"Vitvi00g04584",21,-0.669834357002478,7.89120547599315e-06,0.0555225217290878,2.28675954403162e-05,FALSE
"Vitvi00g04594",5,0.712176598320604,1.10874829493115e-06,0.00780115300313554,4.01500411895808e-06,TRUE
"Vitvi00g04598",47,-0.750289519408583,1.37448227308175e-07,0.000967085727340323,6.46880085177473e-07,TRUE
"Vitvi00g04602",50,-0.861011812544602,1.62270868075849e-11,1.14173782778167e-07,4.9857547064702e-10,TRUE
"Vitvi00g04610",18,-0.589733737477529,0.000153686635287772,1,0.00030451680255837,FALSE
"Vitvi00g04617",29,0.307841184324312,0.0677745897337759,1,0.0729481433940412,FALSE
"Vitvi00g04625",44,-0.854242196177249,3.44851741255845e-11,2.42637685147612e-07,7.42011269564575e-10,TRUE
"Vitvi00g04629",7,-0.0717496003334175,0.677526151858529,1,0.681594796179098,FALSE
"Vitvi00g04632",3,-0.692021082694147,2.93995527601393e-06,0.020685525322034,9.38970736361052e-06,TRUE
"Vitvi00g04634",37,0.816811769737353,1.23759826433005e-09,8.70774138782626e-06,1.26935005653447e-08,TRUE
"Vitvi00g04636",38,-0.816811769737353,1.23759826433008e-09,8.70774138782648e-06,1.26935005653447e-08,TRUE
"Vitvi00g04664",17,0.487897282267239,0.00253992909673463,1,0.0039792788075317,FALSE
"Vitvi00g04671",6,-0.175993837885964,0.304543781136304,1,0.310546383199281,FALSE
"Vitvi00g04688",68,0.861011812544602,1.62270868075847e-11,1.14173782778166e-07,4.9857547064702e-10,TRUE
"Vitvi00g04696",299,-0.750289519408583,1.37448227308175e-07,0.000967085727340323,6.46880085177473e-07,TRUE
"Vitvi00g04704",109,-0.750289519408583,1.37448227308175e-07,0.000967085727340323,6.46880085177473e-07,TRUE
"Vitvi00g04705",35,-0.731763852262692,3.96103875756545e-07,0.00278698686982305,1.612037906752e-06,TRUE
"Vitvi00g04706",84,-0.750289519408583,1.37448227308175e-07,0.000967085727340323,6.46880085177473e-07,TRUE
"Vitvi00g04707",36,-0.778309556517049,2.30216542281962e-08,0.000161980359149588,1.65286080764888e-07,TRUE
"Vitvi00g04709",146,-0.416590102555634,0.0114910875759496,1,0.0139760228495042,FALSE
"Vitvi00g04722",5,0.544541179824902,0.000595760055322695,1,0.00103093156646593,FALSE
"Vitvi00g04728",36,-0.816811769737353,1.23759826433008e-09,8.70774138782648e-06,1.26935005653447e-08,TRUE
"Vitvi00g04731",36,-0.235995774737612,0.165849097419878,1,0.172212846730558,FALSE
"Vitvi00g04737",74,0.750289519408583,1.37448227308174e-07,0.00096708572734031,6.46880085177473e-07,TRUE
"Vitvi00g04742",25,0.816811769737353,1.23759826433005e-09,8.70774138782626e-06,1.26935005653447e-08,TRUE
"Vitvi00g04744",392,-0.684288760868618,4.18769069394475e-06,0.0294645917225952,1.28722550120556e-05,TRUE
