"coeff."	"p-value"	"p-wilcox"	"padj (FDR)"	"padjW (FDR)"	"log2FCH (Rpv1_vs_wt)"	"proteID"
"Vitvi01g00137"	-0.00870509354205854	0.939507181491493	0.7	0.967341966967693	0.808540783898305	0.00870509354205673	"D7T9K9"
"Vitvi01g00138"	0.142084608851364	0.0634923544512758	0.2	0.204823893446183	0.416936190552059	-0.142084608851368	"D7T9K7"
"Vitvi01g00139"	0.0155337059779635	0.748660364928985	1	0.850428000536043	1	-0.0155337059779654	"D7T9K6"
"Vitvi01g01876"	0.422231038613409	0.281401169098675	0.4	0.492376784845095	0.658298220237721	-0.422231038613409	"D7T9K5"
"Vitvi01g01877"	-0.305723204702802	0.24249667441405	0.7	0.452467222910933	0.808540783898305	0.305723204702799	"D7T9K4"
"Vitvi01g01878"	-0.0575044836920934	0.639929037837718	0.7	0.775722762237134	0.808540783898305	0.0575044836920924	"F6HF56"
"Vitvi01g01880"	-0.303339054385141	0.0547432379261585	0.1	0.187144551053407	0.266215666327569	0.30333905438514	"D7UBL1"
"Vitvi01g04033"	0.113305774512787	0.0927092249179202	0.1	0.256459588464805	0.266215666327569	-0.113305774512787	NA
"Vitvi01g01881"	-0.127150437177485	0.625111005530542	0.7	0.764874888959747	0.808540783898305	0.127150437177484	"D7T9K2"
"Vitvi01g00140"	-0.297389119340914	0.00626209260561084	0.1	0.0573783968474195	0.266215666327569	0.297389119340913	"D7T9J8"
"Vitvi01g04034"	-0.46786752417464	0.0839203033779627	0.1	0.241835747065071	0.266215666327569	0.46786752417464	"F6HFS8"
"Vitvi01g00142"	0.149937451672929	0.646703208454153	0.7	0.780439013961558	0.808540783898305	-0.149937451672931	"F6HFS7"
"Vitvi01g00143"	-0.145913382296269	0.0901554299597423	0.1	0.252236617416713	0.266215666327569	0.145913382296268	"D7T9J5"
"Vitvi01g00145"	0.767936794984008	0.00165152478260312	0.1	0.0324221695693482	0.266215666327569	-0.76793679498401	"D7T9J4"
"Vitvi01g04036"	0.54034607984938	0.0928406516420632	0.1	0.25668748154476	0.266215666327569	-0.54034607984938	NA
"Vitvi01g04037"	0.497134696058366	0.0207880904733115	0.1	0.107317117639015	0.266215666327569	-0.497134696058366	NA
"Vitvi01g00146"	0.0654090478339634	0.601006293632639	0.7	0.747160745751664	0.808540783898305	-0.0654090478339668	"F6HFS4"
"Vitvi01g00147"	0.117018282648455	0.491827291994201	0.4	0.663879321411061	0.658298220237721	-0.117018282648456	"F6HFS3"
"Vitvi01g00148"	1.28418343787885	0.00255712613754592	0.1	0.0388885900828982	0.266215666327569	-1.28418343787885	"D7T9J1"
"Vitvi01g00149"	-0.454803440933554	0.0058284530155864	0.1	0.0552225876049531	0.266215666327569	0.454803440933553	"F6HFS2"
"Vitvi01g00150"	0.249123388665146	0.431455153655067	0.4	0.617061702611928	0.658298220237721	-0.249123388665147	"F6HFS1"
"Vitvi01g01887"	0.82919511864421	0.0188129141705798	0.1	0.101654997094756	0.266215666327569	-0.82919511864421	"A5BPH3"
"Vitvi01g00151"	0.132148908727836	0.0837570322601084	0.2	0.241551441174209	0.416936190552059	-0.132148908727837	"F6HFR9"
"Vitvi01g00152"	0.389229235095916	0.0713270601295872	0.1	0.219571023263534	0.266215666327569	-0.389229235095916	"F6HFR8"
"Vitvi01g04038"	0.273948902678474	0.354252111041786	1	0.5589980399091	1	-0.273948902678474	NA
"Vitvi01g00155"	0.138581188249732	0.0607801652362773	0.1	0.19944277668566	0.266215666327569	-0.138581188249733	"D7T9I6"
"Vitvi01g00156"	0.404742661908056	0.482975385668439	0.7	0.657971933341526	0.808540783898305	-0.404742661908058	"F6HFR7"
"Vitvi01g01888"	0.673169497011136	0.088244192251643	0.1	0.249057621552335	0.266215666327569	-0.673169497011136	"F6HFR6"
"Vitvi01g01889"	-0.155135216501584	0.374887206263099	1	0.576676657694512	1	0.155135216501584	"F6HF62"
"Vitvi01g00157"	-0.226134699286826	0.220649656986163	0.4	0.428187181890098	0.658298220237721	0.226134699286827	"D7T9I4"
"Vitvi01g00160"	0.269715585078731	0.479038202308509	0.7	0.655349720002162	0.808540783898305	-0.269715585078734	"D7T9I1"
"Vitvi01g00161"	-0.320661520774003	0.100514611221189	0.2	0.269339223945044	0.416936190552059	0.320661520773999	"F6HFR3"
"Vitvi01g04039"	-0.274759487335736	0.0600121736646453	0.1	0.19794032929545	0.266215666327569	0.274759487335734	"D7T9H9"
"Vitvi01g00162"	-0.733060937304497	0.00298915209580623	0.1	0.0414638526583677	0.266215666327569	0.733060937304494	"F6HF53"
"Vitvi01g01893"	0.252122213982683	0.0661389368123237	0.1	0.209970864665983	0.266215666327569	-0.252122213982684	"A5C8X7"
